budget_ms,mean_aw,mean_moead,n,wilcoxon_p,holm_p_5
100,0.000911462236647618,9.380345919400922e-05,60,0.026231237263180107,0.13115618631590054
200,0.0423700722410142,0.004513826230832287,60,1.4294048844859961e-08,2.8588097689719922e-08
500,0.2870207329183971,0.14102999480447784,60,4.432223720873952e-09,4.432223720873952e-09
1000,0.4962823484335207,0.3724061461638117,60,2.127999974937276e-06,6.383999924811828e-06
2000,0.4962823484335207,0.6162614393470709,60,1.957099667218923e-05,7.828398668875693e-05
