seed,algo,row,f1,f2,f3,f4,knee
31,AW-NSGA-II,0,289.0,2242.6497883971924,1202.5000000000002,0.0,0
31,AW-NSGA-II,1,266.0,2309.0253363456427,1206.5000000000002,0.0,0
31,AW-NSGA-II,2,284.3333333333333,2358.670135586939,1183.6666666666667,0.0,0
31,AW-NSGA-II,3,266.0,2351.775077086383,1205.3333333333333,0.0,1
31,AW-NSGA-II,4,266.0,2351.775077086383,1205.3333333333333,0.0,0
31,AW-NSGA-II,5,274.0,2265.250885065153,1195.5000000000002,0.0,0
31,AW-NSGA-II,6,289.0,2246.0244197354514,1196.6666666666667,0.0,0
31,AW-NSGA-II,7,281.6666666666667,2321.028174116516,1186.3333333333335,0.0,0
31,AW-NSGA-II,8,284.3333333333333,2358.670135586939,1183.6666666666667,0.0,0
31,AW-NSGA-II,9,281.6666666666667,2322.2118722723494,1184.6666666666665,0.0,0
31,AW-NSGA-II,10,289.0,2303.7092532734277,1184.3333333333335,0.0,0
31,AW-NSGA-II,11,281.6666666666667,2322.2118722723494,1184.6666666666665,0.0,0
31,AW-NSGA-II,12,267.0,2304.6803997006355,1213.3333333333335,0.0,0
31,AW-NSGA-II,13,289.0,2305.7509440162316,1176.8333333333335,0.0,0
31,AW-NSGA-II,14,289.0,2300.9949251436856,1185.3333333333333,0.0,0
31,AW-NSGA-II,15,284.3333333333333,2358.670135586939,1183.6666666666667,0.0,0
31,AW-NSGA-II,16,289.0,2245.5848212929695,1200.0,0.0,0
31,AW-NSGA-II,17,271.0,2253.005312220898,1199.3333333333335,0.0,0
31,AW-NSGA-II,18,289.0,2242.6497883971924,1202.5000000000002,0.0,0
31,AW-NSGA-II,19,289.0,2260.305216626116,1185.5,0.0,0
31,AW-NSGA-II,20,289.0,2250.866602961515,1196.3333333333333,0.0,0
31,AW-NSGA-II,21,279.0,2302.028464978688,1189.5,0.0,0
31,AW-NSGA-II,22,281.6666666666667,2321.028174116516,1186.3333333333335,0.0,0
31,AW-NSGA-II,23,289.0,2245.5848212929695,1200.0,0.0,0
31,AW-NSGA-II,24,289.0,2251.623106707807,1191.6666666666665,0.0,0
31,AW-NSGA-II,25,281.6666666666667,2307.4272869902334,1187.5,0.0,0
31,AW-NSGA-II,26,266.0,2309.0253363456427,1206.5000000000002,0.0,0
