seed,algo,f1,f2,f3,f4,hv,hv_sub,front_size,evals,wall_s,delta_h_mean,delta_h_max,gini_delta_h,T_end_max,cycles_max
31,AW-NSGA-II,266.0,2351.775077086383,1205.3333333333333,0.0,0.5117283599428452,0.43613591572094346,31,20000,0.757,0.05733147518392832,0.22295785463235163,0.5024658272888392,81.32526613678536,0.7160000000000005
31,NSGA-II-2obj,309.0,2106.3482150080936,1229.6666666666667,0.0,0.2278944271646882,0.5777094228993942,7,20000,4.129,0.05553611744591541,0.2259091767167175,0.5133662714307607,80.27069315932792,0.8520000000000006
31,NSGA-II-3obj,282.0,2222.3013195152344,1236.0000000000002,0.0,0.5672204158267196,0.6185213786295845,57,20000,5.045,0.05728131868666916,0.22677175509996939,0.46604355375363427,79.20332895617784,0.7680000000000006
31,NSGA-III,432.33333333333337,2695.7088305886923,1179.0000000000002,0.0,0.5142253454767678,0.41588005697642666,26,20000,4.953,0.04942798130239442,0.24313860391888165,0.3531740354759443,85.61569828669003,1.161999999999995
31,MOEA/D,271.6666666666667,2075.7516412834575,1203.0000000000002,0.0,0.556551046740533,0.37990693793951363,83,20000,17.691,0.055295325851183,0.20271039295139248,0.4355934560678907,79.61924425604752,0.7400000000000005
31,GA-SA,270.0,2312.528951444645,1155.0000000000002,0.0,0.5662239564566013,0.5662239564566013,1,20000,40.163,0.054165979389599016,0.19780543818878205,0.38662612576440925,79.25943113295855,0.7220000000000005
31,A*-GA,281.3333333333333,2129.7994338750746,1240.3333333333333,0.0,0.3446878064580721,1.0,1,20000,6.151,0.058475897509453575,0.22740699556722044,0.49541307074338214,81.58565693316395,0.7760000000000006
31,LWC,332.6666666666667,2257.717991886937,1196.6666666666667,0.0,0.5139027612063737,0.3993598300279443,50,20000,4.797,0.05472027675673815,0.22754870015133644,0.4353310028776023,81.78930993775045,0.9080000000000007
32,AW-NSGA-II,288.33333333333337,2479.3679010312144,1317.4999999999998,0.0,0.4868392855311664,0.4403415025267896,34,20000,4.772,0.06000629710661169,0.20951403715734618,0.4306554615260638,82.24205165235543,0.7900000000000006
32,NSGA-II-2obj,298.3333333333333,2448.428254706594,1358.1666666666665,0.0,0.26732028237248573,0.6065907834269252,7,20000,5.066,0.06314513707623473,0.22344431521282448,0.4537321052028782,81.19686355573141,0.8200000000000006
32,NSGA-II-3obj,377.66666666666674,2577.7565223943307,1305.6666666666665,0.0,0.6199664655929559,0.6506925091190983,57,20000,4.741,0.05696074580969059,0.18959136394331233,0.37344478339123777,84.46910577498832,1.0279999999999998
32,NSGA-III,367.33333333333337,2577.679625560494,1296.8333333333335,0.0,0.6846239422151367,0.7303465741417704,25,20000,4.654,0.055336347205355386,0.2164534060126685,0.3497053318496335,86.96025840396365,1.0120000000000005
32,MOEA/D,287.0,2289.3638009830356,1330.0,0.0,0.6424434310301739,0.5284743694774348,93,20000,18.173,0.06054775215061113,0.1793457736490589,0.36353777413830346,84.44940729177767,0.7860000000000006
32,GA-SA,343.0,2532.1265300416762,1301.8333333333335,0.0,0.1822472194552186,0.1962574044286463,1,20000,38.623,0.057036380789350714,0.2179226655931188,0.45933543327486825,84.79061120856869,0.9240000000000007
32,A*-GA,297.0,2225.252789887942,1379.6666666666665,0.0,0.27049654025523995,1.0,7,20000,6.657,0.06227582386970006,0.21293187196216568,0.3559622136491736,81.45058921920123,0.8160000000000006
32,LWC,303.0,2425.311179256398,1314.5000000000002,0.0,0.5738868533103866,0.5295393846912151,24,20000,5.088,0.05919172519189818,0.2098132181023743,0.4167236027713761,82.70829326315896,0.8340000000000006
33,AW-NSGA-II,324.33333333333337,2483.6253195657027,1342.8333333333335,0.0,0.6096568974051342,0.3782792970320265,32,20000,5.105,0.03761729011631622,0.20190686579664952,0.42749316366635304,84.39480971801424,0.8980000000000007
33,NSGA-II-2obj,301.0,2415.0441050201644,1395.0,0.0,0.23052551529669738,0.324319951734149,3,20000,5.637,0.037160000017127784,0.19245037686524902,0.35584735095732856,81.9538467304273,0.8420000000000006
33,NSGA-II-3obj,313.3333333333333,2542.23713301678,1354.5,0.0,0.3174076667625622,0.8406084853141061,53,20000,5.164,0.038884740505444715,0.17140783493315392,0.3753663753886918,85.28340132326309,0.8800000000000007
33,NSGA-III,296.3333333333333,2475.5572716082393,1356.6666666666667,0.0,0.5414190246303385,0.2080359120216161,24,20000,4.639,0.037274321655199685,0.1759343737100768,0.3900259289740904,83.3040692747286,0.8140000000000006
33,MOEA/D,289.33333333333337,2423.5411012087015,1329.1666666666665,0.0,0.7911814164676683,0.6652509140812665,95,20000,17.824,0.039414518761050635,0.17779253481007162,0.37512448469158954,84.21244607236606,0.8080000000000006
33,GA-SA,317.3333333333333,2570.319833402041,1314.3333333333333,0.0,0.32059599904309055,0.047096881493895196,1,20000,35.634,0.0385567574415968,0.17409998674566085,0.33086199418271556,83.76426114922043,0.8320000000000006
33,A*-GA,302.33333333333337,2388.177491132792,1426.8333333333333,0.0,0.19928185307109308,1.0,1,20000,3.326,0.039949008902704974,0.19425516485369376,0.40321446643096626,83.22719915346627,0.8320000000000006
33,LWC,317.3333333333333,2409.5379642125736,1359.1666666666667,0.0,0.748262421747363,0.6211426193845141,25,20000,4.432,0.03661606297093116,0.17674454266578632,0.4505786352810228,85.30840936393264,0.8620000000000007
