algo,metric,mean,std,ci95_lo,ci95_hi
AW-NSGA-II,f1,320.9222222222223,34.16566394192556,308.16455363989235,333.6798908045522
AW-NSGA-II,f2,2432.179137826439,148.8110926308032,2376.612162620419,2487.7461130324587
AW-NSGA-II,f3,1320.5777777777776,79.57200808065129,1290.8651016462973,1350.2904539092578
AW-NSGA-II,f4,0.0,0.0,0.0,0.0
AW-NSGA-II,hv,0.529929293434484,0.11583211378011828,0.4866768713153254,0.5731817155536427
AW-NSGA-II,hv_sub,0.4493289273762119,0.12504330827424545,0.40263698870607373,0.49602086604635004
AW-NSGA-II,delta_h_mean,0.08152015697815604,0.0285246925568308,0.07086886172829732,0.09217145222801476
AW-NSGA-II,gini_delta_h,0.3941167212289297,0.06503810359724434,0.3698310942226096,0.4184023482352498
NSGA-II-2obj,f1,312.7555555555556,23.326589063631886,304.04526404956107,321.4658470615501
NSGA-II-2obj,f2,2364.4809200322616,131.1451792457591,2315.510505295654,2413.451334768869
NSGA-II-2obj,f3,1366.6555555555558,75.3506990122503,1338.519142135369,1394.7919689757425
NSGA-II-2obj,f4,0.0,0.0,0.0,0.0
NSGA-II-2obj,hv,0.23216130895753112,0.09276860765387461,0.1975209415610699,0.2668016763539923
NSGA-II-2obj,hv_sub,0.5770503458385949,0.1688670402958496,0.5139943566959473,0.6401063349812426
NSGA-II-2obj,delta_h_mean,0.08311943464794423,0.02866817279582783,0.0724145629963405,0.09382430629954797
NSGA-II-2obj,gini_delta_h,0.37774118615159935,0.07276121441761889,0.3505717021700885,0.4049106701331102
NSGA-II-3obj,f1,328.77777777777777,41.76942119081352,313.1808195762942,344.37473597926135
NSGA-II-3obj,f2,2449.162516177336,167.43328947272488,2386.641898390625,2511.6831339640466
NSGA-II-3obj,f3,1324.1277777777782,71.0933992998662,1297.5810661962141,1350.6744893593423
NSGA-II-3obj,f4,0.0,0.0,0.0,0.0
NSGA-II-3obj,hv,0.5021406703043751,0.1503833798034097,0.4459865934193578,0.5582947471893924
NSGA-II-3obj,hv_sub,0.6354562650331258,0.12810194566527702,0.5876222123910586,0.683290317675193
NSGA-II-3obj,delta_h_mean,0.08183367740247063,0.02835125557105821,0.07124714458744022,0.09242021021750105
NSGA-II-3obj,gini_delta_h,0.3852266020418599,0.06766961686714656,0.3599583518315979,0.41049485225212184
NSGA-III,f1,336.6777777777778,39.239658894293235,322.02544834235414,351.3301072132015
NSGA-III,f2,2446.848508340603,155.91677311910772,2388.628228434408,2505.0687882467982
NSGA-III,f3,1321.8333333333335,77.3187288032776,1292.9620455118543,1350.7046211548127
NSGA-III,f4,0.0,0.0,0.0,0.0
NSGA-III,hv,0.5256242075157388,0.12875735450231768,0.4775454211918352,0.5737029938396424
NSGA-III,hv_sub,0.4542306463948388,0.14268085676143055,0.40095273888221716,0.5075085539074604
NSGA-III,delta_h_mean,0.08075288058355286,0.02941384484529977,0.06976957041266732,0.0917361907544384
NSGA-III,gini_delta_h,0.38359770428590295,0.06581949279188251,0.3590203017591085,0.4081751068126974
MOEA/D,f1,286.6333333333333,14.078964499540085,281.3761615900056,291.89050507666104
MOEA/D,f2,2245.6606449895075,110.07019625886319,2204.5597582322794,2286.7615317467357
MOEA/D,f3,1315.8333333333333,69.57700604448966,1289.8528522990655,1341.813814367601
MOEA/D,f4,0.0,0.0,0.0,0.0
