event,replan_type,triggers_per_run,trigger_rate,replan_applied_rate,response_ms_mean,response_ms_std,deg_ehco_mean,deg_ehco_std,deg_astar_mean,deg_astar_std,detection_rate,false_alarm_rate,f1_score,warn_t_mean
A: sudden aisle congestion,local,1,1.0,0.6466666666666666,790.4991275361787,136.86205229121228,47.97334268609165,30.896103841775492,59.98005198436486,28.192849760554154,nan,nan,nan,nan
B: equipment fault warning,global,1,1.0,0.6066666666666667,2661.2495802197213,1175.9207390714694,7.036693717391475,16.805060588889376,43.62709729697444,39.48265281205145,1.0,0.0,1.0,287.00666666666666
C: urgent order insertion,local,1,1.0,1.0,111.50748266656592,12.244526054061211,44.30851738565173,24.989762411288808,91.2325511290927,22.108708795912612,nan,nan,nan,nan
