config,seed,algo,hv,wall_s,evals
MOEA/D-T30,1,MOEA/D,0.917021921,4.975,20000
MOEA/D-T30,2,MOEA/D,0.737812297,4.907,20000
MOEA/D-T30,3,MOEA/D,0.787917672,4.995,20000
MOEA/D-T30,4,MOEA/D,0.883565700,4.921,20000
MOEA/D-T30,5,MOEA/D,0.670277842,5.029,20000
MOEA/D-T30,6,MOEA/D,0.550489617,4.954,20000
MOEA/D-T30,7,MOEA/D,0.750059705,4.886,20000
MOEA/D-T30,8,MOEA/D,1.163155296,4.990,20000
MOEA/D-T30,9,MOEA/D,0.766118368,4.904,20000
MOEA/D-T30,10,MOEA/D,0.838032890,5.017,20000
MOEA/D-T30,11,MOEA/D,1.216088599,4.899,20000
MOEA/D-T30,12,MOEA/D,0.666951720,4.944,20000
MOEA/D-T30,13,MOEA/D,0.832035532,4.951,20000
MOEA/D-T30,14,MOEA/D,0.690333309,4.898,20000
MOEA/D-T30,15,MOEA/D,0.854848532,4.979,20000
MOEA/D-T30,16,MOEA/D,0.908070674,4.866,20000
MOEA/D-T30,17,MOEA/D,0.838599525,4.997,20000
MOEA/D-T30,18,MOEA/D,0.731298125,4.898,20000
MOEA/D-T30,19,MOEA/D,0.843485570,4.955,20000
MOEA/D-T30,20,MOEA/D,0.580659616,4.973,20000
MOEA/D-T30,21,MOEA/D,1.203761999,4.922,20000
MOEA/D-T30,22,MOEA/D,0.555992882,5.022,20000
MOEA/D-T30,23,MOEA/D,0.983012262,4.884,20000
MOEA/D-T30,24,MOEA/D,1.041695209,4.979,20000
MOEA/D-T30,25,MOEA/D,0.984885055,4.910,20000
MOEA/D-T30,26,MOEA/D,0.646145456,4.950,20000
MOEA/D-T30,27,MOEA/D,0.739716657,4.958,20000
MOEA/D-T30,28,MOEA/D,1.301300787,4.903,20000
MOEA/D-T30,29,MOEA/D,0.812265075,4.964,20000
MOEA/D-T30,30,MOEA/D,0.530835311,4.878,20000
