config,seed,algo,hv,wall_s,evals
NSGA-III-H4,1,NSGA-III,0.449347332,1.426,20000
NSGA-III-H4,2,NSGA-III,0.204947043,1.427,20000
NSGA-III-H4,3,NSGA-III,0.427173925,1.420,20000
NSGA-III-H4,4,NSGA-III,0.471540106,1.380,20000
NSGA-III-H4,5,NSGA-III,0.335631957,1.336,20000
NSGA-III-H4,6,NSGA-III,0.414833117,1.433,20000
NSGA-III-H4,7,NSGA-III,0.385681821,1.422,20000
NSGA-III-H4,8,NSGA-III,0.597490303,1.426,20000
NSGA-III-H4,9,NSGA-III,0.504972135,1.435,20000
NSGA-III-H4,10,NSGA-III,0.429271183,1.406,20000
NSGA-III-H4,11,NSGA-III,0.663442055,1.354,20000
NSGA-III-H4,12,NSGA-III,0.493471077,1.410,20000
NSGA-III-H4,13,NSGA-III,0.521217832,1.449,20000
NSGA-III-H4,14,NSGA-III,0.344071779,1.429,20000
NSGA-III-H4,15,NSGA-III,0.768154871,1.421,20000
NSGA-III-H4,16,NSGA-III,0.331502377,1.391,20000
NSGA-III-H4,17,NSGA-III,0.532751748,1.330,20000
NSGA-III-H4,18,NSGA-III,0.412067032,1.400,20000
NSGA-III-H4,19,NSGA-III,0.530616054,1.428,20000
NSGA-III-H4,20,NSGA-III,0.444387603,1.436,20000
NSGA-III-H4,21,NSGA-III,0.254452753,1.428,20000
NSGA-III-H4,22,NSGA-III,0.596805130,1.391,20000
NSGA-III-H4,23,NSGA-III,0.625832743,1.348,20000
NSGA-III-H4,24,NSGA-III,0.622981232,1.393,20000
NSGA-III-H4,25,NSGA-III,0.546371169,1.439,20000
NSGA-III-H4,26,NSGA-III,0.634279016,1.437,20000
NSGA-III-H4,27,NSGA-III,0.345820200,1.438,20000
NSGA-III-H4,28,NSGA-III,0.361054958,1.409,20000
NSGA-III-H4,29,NSGA-III,0.483022692,1.346,20000
NSGA-III-H4,30,NSGA-III,0.600378701,1.356,20000
