scenario,strategy,seed,instance,t_ev,f1_base,f1_event,deg_pct,timeout,response_ms,replan_evals,warn_t,warn_agv,n_warned,n_agv,event_fired,replan_applied,maint_enter
congestion,A*-GA,54,0,150.0,323.0,681.0,110.83591331269349,0,None,None,None,None,0,10,1,0,
congestion,EHCO,55,0,150.0,359.0,654.0,82.17270194986072,0,831.4456999978574,4000.0,None,None,0,10,1,1,
congestion,A*-GA,55,0,150.0,292.0,557.0,90.75342465753424,0,None,None,None,None,0,10,1,0,
congestion,EHCO,56,0,150.0,342.0,541.0,58.187134502923975,0,800.2684999992198,4000.0,None,None,0,10,1,1,
congestion,A*-GA,56,0,150.0,296.0,488.0,64.86486486486487,0,None,None,None,None,0,10,1,0,
congestion,EHCO,57,0,150.0,277.0,533.0,92.4187725631769,0,709.5632999989903,4000.0,None,None,0,10,1,0,
congestion,A*-GA,57,0,150.0,287.0,552.0,92.33449477351915,0,None,None,None,None,0,10,1,0,
congestion,EHCO,58,0,150.0,307.0,573.0,86.64495114006515,0,800.6894999998622,4000.0,None,None,0,10,1,0,
congestion,A*-GA,58,0,150.0,318.0,578.0,81.76100628930818,0,None,None,None,None,0,10,1,0,
congestion,EHCO,59,0,150.0,292.0,506.0,73.28767123287672,0,626.0082999979204,4000.0,None,None,0,10,1,1,
congestion,A*-GA,59,0,150.0,298.0,599.0,101.00671140939596,0,None,None,None,None,0,10,1,0,
congestion,EHCO,60,0,150.0,353.0,586.0,66.0056657223796,0,758.7108999978227,4000.0,None,None,0,10,1,1,
congestion,A*-GA,60,0,150.0,297.0,502.0,69.02356902356902,0,None,None,None,None,0,10,1,0,
congestion,EHCO,31,1,201.83628993137137,270.0,411.0,52.22222222222223,0,645.8660999996937,4000.0,None,None,0,10,1,1,
congestion,A*-GA,31,1,201.83628993137137,285.0,385.0,35.08771929824561,0,None,None,None,None,0,10,1,0,
congestion,EHCO,32,1,201.83628993137137,292.0,532.0,82.1917808219178,0,711.6583999995783,4000.0,None,None,0,10,1,1,
congestion,A*-GA,32,1,201.83628993137137,301.0,544.0,80.73089700996677,0,None,None,None,None,0,10,1,0,
congestion,EHCO,33,1,201.83628993137137,328.0,434.0,32.31707317073171,0,693.4120999976585,4000.0,None,None,0,10,1,1,
congestion,A*-GA,33,1,201.83628993137137,305.0,626.0,105.24590163934427,0,None,None,None,None,0,10,1,0,
congestion,EHCO,34,1,201.83628993137137,307.0,566.0,84.36482084690554,0,720.541000002413,4000.0,None,None,0,10,1,0,
congestion,A*-GA,34,1,201.83628993137137,320.0,627.0,95.9375,0,None,None,None,None,0,10,1,0,
congestion,EHCO,35,1,201.83628993137137,351.0,667.0,90.02849002849003,0,706.4778000021761,4000.0,None,None,0,10,1,1,
congestion,A*-GA,35,1,201.83628993137137,299.0,474.0,58.52842809364549,0,None,None,None,None,0,10,1,0,
congestion,EHCO,36,1,201.83628993137137,366.0,582.0,59.01639344262295,0,717.9219999998168,4000.0,None,None,0,10,1,1,
congestion,A*-GA,36,1,201.83628993137137,313.0,589.0,88.17891373801918,0,None,None,None,None,0,10,1,0,
congestion,EHCO,37,1,201.83628993137137,339.0,476.0,40.41297935103245,0,667.4499000000651,4000.0,None,None,0,10,1,0,
congestion,A*-GA,37,1,201.83628993137137,291.0,416.0,42.955326460481096,0,None,None,None,None,0,10,1,0,
congestion,EHCO,38,1,201.83628993137137,322.0,573.0,77.95031055900621,0,752.2653000014543,4000.0,None,None,0,10,1,0,
congestion,A*-GA,38,1,201.83628993137137,334.0,632.0,89.22155688622755,0,None,None,None,None,0,10,1,0,
congestion,EHCO,39,1,201.83628993137137,314.0,710.0,126.11464968152866,0,688.4103000011237,4000.0,None,None,0,10,1,1,
congestion,A*-GA,39,1,201.83628993137137,316.0,614.0,94.30379746835443,0,None,None,None,None,0,10,1,0,
congestion,EHCO,40,1,201.83628993137137,270.0,550.0,103.7037037037037,0,600.5339000003005,4000.0,None,None,0,10,1,1,
congestion,A*-GA,40,1,201.83628993137137,304.0,515.0,69.4078947368421,0,None,None,None,None,0,10,1,0,
congestion,EHCO,41,1,201.83628993137137,397.0,575.0,44.83627204030227,0,670.139999998355,4000.0,None,None,0,10,1,1,
congestion,A*-GA,41,1,201.83628993137137,291.0,550.0,89.00343642611683,0,None,None,None,None,0,10,1,0,
congestion,EHCO,42,1,201.83628993137137,371.0,517.0,39.35309973045822,0,676.1609999994107,4000.0,None,None,0,10,1,1,
congestion,A*-GA,42,1,201.83628993137137,302.0,580.0,92.05298013245033,0,None,None,None,None,0,10,1,0,
congestion,EHCO,43,1,201.83628993137137,291.0,445.0,52.92096219931272,0,712.238799998886,4000.0,None,None,0,10,1,1,
congestion,A*-GA,43,1,201.83628993137137,280.0,470.0,67.85714285714286,0,None,None,None,None,0,10,1,0,
congestion,EHCO,44,1,201.83628993137137,305.0,620.0,103.27868852459017,0,679.7655000009399,4000.0,None,None,0,10,1,0,
congestion,A*-GA,44,1,201.83628993137137,308.0,596.0,93.5064935064935,0,None,None,None,None,0,10,1,0,
congestion,EHCO,45,1,201.83628993137137,342.0,523.0,52.92397660818714,0,712.1339999976044,4000.0,None,None,0,10,1,0,
congestion,A*-GA,45,1,201.83628993137137,304.0,540.0,77.63157894736842,0,None,None,None,None,0,10,1,0,
congestion,EHCO,46,1,201.83628993137137,300.0,508.0,69.33333333333334,0,662.8889000021445,4000.0,None,None,0,10,1,1,
congestion,A*-GA,46,1,201.83628993137137,297.0,573.0,92.92929292929293,0,None,None,None,None,0,10,1,0,
congestion,EHCO,47,1,201.83628993137137,312.0,544.0,74.35897435897436,0,713.2438000007824,4000.0,None,None,0,10,1,1,
congestion,A*-GA,47,1,201.83628993137137,313.0,607.0,93.9297124600639,0,None,None,None,None,0,10,1,0,
congestion,EHCO,48,1,201.83628993137137,315.0,608.0,93.01587301587301,0,695.8290000002307,4000.0,None,None,0,10,1,1,
congestion,A*-GA,48,1,201.83628993137137,308.0,494.0,60.3896103896104,0,None,None,None,None,0,10,1,0,
congestion,EHCO,49,1,201.83628993137137,310.0,557.0,79.6774193548387,0,637.9182999990007,4000.0,None,None,0,10,1,1,
