config,arm,metric,mean,std,n
W1,full,f1,555.3,138.83925902547628,30
W1,full,f2_full,4358.088707067046,842.1000273355133,30
W1,full,share_low,0.26999999999999996,0.1295882072114429,30
W1,full,gini_delta_h,0.41210247859335636,0.07053428910702973,30
W1,full,delta_h_low_mean,-0.2140298504739053,0.07754006641559005,30
W1,full,delta_h_max,0.21665126845265936,0.05191066448275416,30
W1,full,h_end_min_lowgrp,0.45421248252084784,0.18342085083425338,30
W1,hard,f1,561.8777777777777,35.60817885011409,30
W1,hard,f2_full,5429.553611558979,280.8834592926488,30
W1,hard,share_low,0.0,0.0,30
W1,hard,gini_delta_h,0.6414897178035337,0.04321327031969078,30
W1,hard,delta_h_low_mean,0.0,0.0,30
W1,hard,delta_h_max,0.23873871204198419,0.04231867732927076,30
W1,hard,h_end_min_lowgrp,0.34747163153753285,0.04339137955179927,30
W1,nohealth,f1,334.3444444444444,37.866622483920054,30
W1,nohealth,f2_full,2827.905797382438,185.0397625374317,30
W1,nohealth,share_low,0.5073333333333333,0.042502197373891104,30
W1,nohealth,gini_delta_h,0.34558350633690343,0.06927018058818721,30
W1,nohealth,delta_h_low_mean,-0.3113718446424655,0.03640889520109706,30
W1,nohealth,delta_h_max,0.17956152180950777,0.04593081583697621,30
W1,nohealth,h_end_min_lowgrp,0.7397405800339844,0.011855393972617896,30
W2,full,f1,555.3,138.83925902547628,30
W2,full,f2_full,4358.088707067046,842.1000273355133,30
W2,full,share_low,0.26999999999999996,0.1295882072114429,30
W2,full,gini_delta_h,0.4136189928163162,0.07117015870362522,30
W2,full,delta_h_low_mean,-0.21343790385097378,0.07787508720796527,30
W2,full,delta_h_max,0.21392264580544662,0.05145580708988714,30
W2,full,h_end_min_lowgrp,0.4545559183949488,0.1840142659250048,30
W2,hard,f1,561.8777777777777,35.60817885011409,30
W2,hard,f2_full,5429.553611558979,280.8834592926488,30
W2,hard,share_low,0.0,0.0,30
W2,hard,gini_delta_h,0.6446994814428532,0.04399256470684204,30
W2,hard,delta_h_low_mean,0.0,0.0,30
W2,hard,delta_h_max,0.2350471690149339,0.04223653194273051,30
W2,hard,h_end_min_lowgrp,0.34747163153753285,0.04339137955179927,30
W2,nohealth,f1,334.3444444444444,37.866622483920054,30
W2,nohealth,f2_full,2827.905797382438,185.0397625374317,30
W2,nohealth,share_low,0.5073333333333333,0.042502197373891104,30
W2,nohealth,gini_delta_h,0.34722104823853756,0.06893802472819216,30
W2,nohealth,delta_h_low_mean,-0.3127466600907158,0.0362571701895282,30
W2,nohealth,delta_h_max,0.17804208244233752,0.0455993867075508,30
W2,nohealth,h_end_min_lowgrp,0.7422400551034862,0.011310279470602152,30
W3,full,f1,555.3,138.83925902547628,30
W3,full,f2_full,4358.088707067046,842.1000273355133,30
W3,full,share_low,0.26999999999999996,0.1295882072114429,30
W3,full,gini_delta_h,0.32336832021160117,0.08949325507516806,30
W3,full,delta_h_low_mean,-0.16968343816134387,0.06293561478503663,30
W3,full,delta_h_max,0.32050729569170566,0.056303411729994736,30
W3,full,h_end_min_lowgrp,0.4319866561479502,0.1471246647523547,30
W3,hard,f1,561.8777777777777,35.60817885011409,30
W3,hard,f2_full,5429.553611558979,280.8834592926488,30
W3,hard,share_low,0.0,0.0,30
W3,hard,gini_delta_h,0.578919725011611,0.024141588902533408,30
W3,hard,delta_h_low_mean,0.0,0.0,30
W3,hard,delta_h_max,0.3513401090094111,0.04350837231086823,30
W3,hard,h_end_min_lowgrp,0.34747163153753285,0.04339137955179927,30
W3,nohealth,f1,334.3444444444444,37.866622483920054,30
W3,nohealth,f2_full,2827.905797382438,185.0397625374317,30
W3,nohealth,share_low,0.5073333333333333,0.042502197373891104,30
W3,nohealth,gini_delta_h,0.2424768135118904,0.0561359317664715,30
W3,nohealth,delta_h_low_mean,-0.2227922103705092,0.038020716614242105,30
W3,nohealth,delta_h_max,0.2703027629160413,0.049726941723941376,30
W3,nohealth,h_end_min_lowgrp,0.6400414594556169,0.017248987467329016,30
W4,full,f1,555.3,138.83925902547628,30
W4,full,f2_full,4358.088707067046,842.1000273355133,30
W4,full,share_low,0.26999999999999996,0.1295882072114429,30
W4,full,gini_delta_h,0.47107411518663506,0.07780623209094123,30
W4,full,delta_h_low_mean,-0.24359412534894626,0.08973644005224067,30
W4,full,delta_h_max,0.1477754844628115,0.0488337504991047,30
W4,full,h_end_min_lowgrp,0.4690253668438725,0.2085111233376017,30
W4,hard,f1,561.8777777777777,35.60817885011409,30
W4,hard,f2_full,5429.553611558979,280.8834592926488,30
W4,hard,share_low,0.0,0.0,30
W4,hard,gini_delta_h,0.660380934901738,0.04261350472482337,30
W4,hard,delta_h_low_mean,0.0,0.0,30
W4,hard,delta_h_max,0.16375605785333266,0.04181530235830602,30
W4,hard,h_end_min_lowgrp,0.34747163153753285,0.04339137955179927,30
W4,nohealth,f1,334.3444444444444,37.866622483920054,30
W4,nohealth,f2_full,2827.905797382438,185.0397625374317,30
W4,nohealth,share_low,0.5073333333333333,0.042502197373891104,30
W4,nohealth,gini_delta_h,0.39834482969737894,0.051215586534571964,30
W4,nohealth,delta_h_low_mean,-0.3704249341571029,0.03557434859058001,30
W4,nohealth,delta_h_max,0.11995928094752821,0.044133003210937265,30
W4,nohealth,h_end_min_lowgrp,0.8046284934103878,0.014203534079594344,30
D01,full,f1,555.3,138.83925902547628,30
D01,full,f2_full,4358.088707067046,842.1000273355133,30
D01,full,share_low,0.26999999999999996,0.1295882072114429,30
D01,full,gini_delta_h,0.47757455501135454,0.0765368453350204,30
D01,full,delta_h_low_mean,-0.24691205294810553,0.09274261220128559,30
D01,full,delta_h_max,0.13174784616563423,0.047578995621786545,30
D01,full,h_end_min_lowgrp,0.47197605213206645,0.21368176896759003,30
D01,hard,f1,561.8777777777777,35.60817885011409,30
D01,hard,f2_full,5429.553611558979,280.8834592926488,30
D01,hard,share_low,0.0,0.0,30
D01,hard,gini_delta_h,0.6471317428762607,0.043488746073427766,30
D01,hard,delta_h_low_mean,0.0,0.0,30
D01,hard,delta_h_max,0.145097573698203,0.04177546642006133,30
D01,hard,h_end_min_lowgrp,0.34747163153753285,0.04339137955179927,30
D01,nohealth,f1,334.3444444444444,37.866622483920054,30
D01,nohealth,f2_full,2827.905797382438,185.0397625374317,30
D01,nohealth,share_low,0.5073333333333333,0.042502197373891104,30
D01,nohealth,gini_delta_h,0.40388244113101207,0.04830494395780515,30
