config,arm,metric,mean,std,n
W1,full,f1,561.9777777777778,134.29175459131244,30
W1,full,f2_full,4437.5168219082025,894.5983530904724,30
W1,full,share_low,0.196,0.2029030684154722,30
W1,full,gini_delta_h,0.4459995675346215,0.11238151664976533,30
W1,full,delta_h_low_mean,-0.16765080610575017,0.10096639741193028,30
W1,full,delta_h_max,0.2001486479240233,0.059374138827838506,30
W1,full,h_end_min_lowgrp,0.41494300395956446,0.13875815264689317,30
W1,hard,f1,578.4666666666667,219.97158646192173,30
W1,hard,f2_full,5546.633316987951,2718.057406752144,30
W1,hard,share_low,0.0,0.0,30
W1,hard,gini_delta_h,0.6271062860779307,0.12310137843188632,30
W1,hard,delta_h_low_mean,0.0,0.0,30
W1,hard,delta_h_max,0.21423309174711272,0.050533551742940816,30
W1,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
W1,nohealth,f1,338.6555555555555,39.17320643209,30
W1,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
W1,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
W1,nohealth,gini_delta_h,0.3568304879906266,0.07423704369740856,30
W1,nohealth,delta_h_low_mean,-0.3213711818372887,0.041179030266261005,30
W1,nohealth,delta_h_max,0.16776245916103352,0.05432282642955792,30
W1,nohealth,h_end_min_lowgrp,0.743991971610736,0.016342849439124823,30
W2,full,f1,561.9777777777778,134.29175459131244,30
W2,full,f2_full,4437.5168219082025,894.5983530904724,30
W2,full,share_low,0.196,0.2029030684154722,30
W2,full,gini_delta_h,0.4448751400611604,0.111310533912879,30
W2,full,delta_h_low_mean,-0.16683757070124333,0.10089034385756995,30
W2,full,delta_h_max,0.1972451184279673,0.05928417227289659,30
W2,full,h_end_min_lowgrp,0.4150196731027771,0.13895700457484483,30
W2,hard,f1,578.4666666666667,219.97158646192173,30
W2,hard,f2_full,5546.633316987951,2718.057406752144,30
W2,hard,share_low,0.0,0.0,30
W2,hard,gini_delta_h,0.6260621342876035,0.12276138693198946,30
W2,hard,delta_h_low_mean,0.0,0.0,30
W2,hard,delta_h_max,0.21089588703923656,0.050616348954863465,30
W2,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
W2,nohealth,f1,338.6555555555555,39.17320643209,30
W2,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
W2,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
W2,nohealth,gini_delta_h,0.35711200717909364,0.07406521604137112,30
W2,nohealth,delta_h_low_mean,-0.3225933244728435,0.04100111659443625,30
W2,nohealth,delta_h_max,0.16600723005818221,0.05405283950095464,30
W2,nohealth,h_end_min_lowgrp,0.7462892206878416,0.015570668346514476,30
W3,full,f1,561.9777777777778,134.29175459131244,30
W3,full,f2_full,4437.5168219082025,894.5983530904724,30
W3,full,share_low,0.196,0.2029030684154722,30
W3,full,gini_delta_h,0.40765049789514857,0.11729712007958053,30
W3,full,delta_h_low_mean,-0.13858543800186798,0.0841673978314415,30
W3,full,delta_h_max,0.3055936492447652,0.060697508497808354,30
W3,full,h_end_min_lowgrp,0.40490064634408085,0.1151350674419057,30
W3,hard,f1,578.4666666666667,219.97158646192173,30
W3,hard,f2_full,5546.633316987951,2718.057406752144,30
W3,hard,share_low,0.0,0.0,30
W3,hard,gini_delta_h,0.5961958406594773,0.11562684697084184,30
W3,hard,delta_h_low_mean,0.0,0.0,30
W3,hard,delta_h_max,0.32357229623298844,0.05056503014763249,30
W3,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
W3,nohealth,f1,338.6555555555555,39.17320643209,30
W3,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
W3,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
W3,nohealth,gini_delta_h,0.3085340112494984,0.07235223381998135,30
W3,nohealth,delta_h_low_mean,-0.23411206343675062,0.043347974680823124,30
W3,nohealth,delta_h_max,0.26041304840039864,0.05816585255793503,30
W3,nohealth,h_end_min_lowgrp,0.646152047832157,0.023722524857978426,30
W4,full,f1,561.9777777777778,134.29175459131244,30
W4,full,f2_full,4437.5168219082025,894.5983530904724,30
W4,full,share_low,0.196,0.2029030684154722,30
W4,full,gini_delta_h,0.46012699431766235,0.09483728699426756,30
W4,full,delta_h_low_mean,-0.187027718175005,0.11409532863859706,30
W4,full,delta_h_max,0.13163661636149884,0.05553732415471711,30
W4,full,h_end_min_lowgrp,0.42163790903655357,0.1556469792483404,30
W4,hard,f1,578.4666666666667,219.97158646192173,30
W4,hard,f2_full,5546.633316987951,2718.057406752144,30
W4,hard,share_low,0.0,0.0,30
W4,hard,gini_delta_h,0.6099892732371559,0.12527931164919956,30
W4,hard,delta_h_low_mean,0.0,0.0,30
W4,hard,delta_h_max,0.14147945245354981,0.05074859211848175,30
W4,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
W4,nohealth,f1,338.6555555555555,39.17320643209,30
W4,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
W4,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
W4,nohealth,gini_delta_h,0.38561227866150166,0.0847709377060208,30
W4,nohealth,delta_h_low_mean,-0.3795439274376475,0.04025575083025166,30
W4,nohealth,delta_h_max,0.10608155614282154,0.05289699543027423,30
W4,nohealth,h_end_min_lowgrp,0.8092185874631224,0.011427703432344404,30
D01,full,f1,561.9777777777778,134.29175459131244,30
D01,full,f2_full,4437.5168219082025,894.5983530904724,30
D01,full,share_low,0.196,0.2029030684154722,30
D01,full,gini_delta_h,0.46776367778254924,0.09893002975393753,30
D01,full,delta_h_low_mean,-0.18834327186662403,0.11633053699012608,30
D01,full,delta_h_max,0.11624686849955207,0.05298779400543454,30
D01,full,h_end_min_lowgrp,0.4228149290764944,0.15883866404718297,30
D01,hard,f1,578.4666666666667,219.97158646192173,30
D01,hard,f2_full,5546.633316987951,2718.057406752144,30
D01,hard,share_low,0.0,0.0,30
D01,hard,gini_delta_h,0.6121726627766377,0.11711460625584594,30
D01,hard,delta_h_low_mean,0.0,0.0,30
D01,hard,delta_h_max,0.12437137463544076,0.049084220731740034,30
D01,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
D01,nohealth,f1,338.6555555555555,39.17320643209,30
D01,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
D01,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
D01,nohealth,gini_delta_h,0.38854584148352095,0.08831050052406021,30
D01,nohealth,delta_h_low_mean,-0.39089426120542503,0.03996056101049851,30
D01,nohealth,delta_h_max,0.0932257447728056,0.05266799220242535,30
D01,nohealth,h_end_min_lowgrp,0.823817677868585,0.009119506993382615,30
D02,full,f1,561.9777777777778,134.29175459131244,30
D02,full,f2_full,4437.5168219082025,894.5983530904724,30
D02,full,share_low,0.196,0.2029030684154722,30
D02,full,gini_delta_h,0.461850366257282,0.0881213281707713,30
D02,full,delta_h_low_mean,-0.21217738622171442,0.13579916786048407,30
D02,full,delta_h_max,0.03284559150646809,0.030576247376125364,30
D02,full,h_end_min_lowgrp,0.4315413207119833,0.18221718733022185,30
D02,hard,f1,578.4666666666667,219.97158646192173,30
D02,hard,f2_full,5546.633316987951,2718.057406752144,30
D02,hard,share_low,0.0,0.0,30
D02,hard,gini_delta_h,0.6364103529066915,0.10202165764178962,30
D02,hard,delta_h_low_mean,0.0,0.0,30
D02,hard,delta_h_max,0.03579581393646132,0.026777422895723414,30
D02,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
D02,nohealth,f1,338.6555555555555,39.17320643209,30
D02,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
D02,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
D02,nohealth,gini_delta_h,0.3737398352580319,0.09357414493529842,30
D02,nohealth,delta_h_low_mean,-0.4696028632194091,0.03975610794385987,30
D02,nohealth,delta_h_max,0.01264214943819601,0.05387132607532786,30
D02,nohealth,h_end_min_lowgrp,0.9100572809063254,0.00847026123501137,30
D03,full,f1,561.9777777777778,134.29175459131244,30
D03,full,f2_full,4437.5168219082025,894.5983530904724,30
D03,full,share_low,0.196,0.2029030684154722,30
D03,full,gini_delta_h,0.44732404099375567,0.09173107477663368,30
D03,full,delta_h_low_mean,-0.17748546709213528,0.10986494309506616,30
D03,full,delta_h_max,0.14231474625790377,0.05560610464089956,30
D03,full,h_end_min_lowgrp,0.4197981635602717,0.15118171967444696,30
D03,hard,f1,578.4666666666667,219.97158646192173,30
D03,hard,f2_full,5546.633316987951,2718.057406752144,30
D03,hard,share_low,0.0,0.0,30
D03,hard,gini_delta_h,0.6094712016785916,0.12541445624250536,30
D03,hard,delta_h_low_mean,0.0,0.0,30
D03,hard,delta_h_max,0.1511752167377575,0.051489718568748774,30
D03,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
D03,nohealth,f1,338.6555555555555,39.17320643209,30
D03,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
D03,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
D03,nohealth,gini_delta_h,0.380239962508595,0.07997428206627501,30
D03,nohealth,delta_h_low_mean,-0.36582334617708956,0.040024517232766066,30
D03,nohealth,delta_h_max,0.11880016361076343,0.052705469360516025,30
