config,metric,mean,std,ci95_lo,ci95_hi,pct_change_vs_base
base,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
base,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
base,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
base,f4,0.0,0.0,0.0,0.0,nan
base,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
base,delta_h_mean,0.08930587977300727,0.02413003778043789,0.08029557558558696,0.09831618396042759,0.0
base,delta_h_max,0.21563660418136874,0.02754900728524179,0.20534963579946586,0.2259235725632716,0.0
h_safe_lo,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
h_safe_lo,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
h_safe_lo,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
h_safe_lo,f4,0.0,0.0,0.0,0.0,nan
h_safe_lo,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
h_safe_lo,delta_h_mean,0.08930587977300727,0.02413003778043789,0.08029557558558696,0.09831618396042759,0.0
h_safe_lo,delta_h_max,0.21563660418136874,0.02754900728524179,0.20534963579946586,0.2259235725632716,0.0
h_safe_hi,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
h_safe_hi,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
h_safe_hi,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
h_safe_hi,f4,0.0,0.0,0.0,0.0,nan
h_safe_hi,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
h_safe_hi,delta_h_mean,0.08930587977300727,0.02413003778043789,0.08029557558558696,0.09831618396042759,0.0
h_safe_hi,delta_h_max,0.21563660418136874,0.02754900728524179,0.20534963579946586,0.2259235725632716,0.0
alpha_lo,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
alpha_lo,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
alpha_lo,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
alpha_lo,f4,0.0,0.0,0.0,0.0,nan
alpha_lo,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
