variant,metric,mean,std,ci95_lo,ci95_hi
Full,f1,335.04444444444454,45.77294733284194,317.95254501285604,352.13634387603304
Full,f2,2255.9730673252807,196.34986678413912,2182.6548221164476,2329.291312534114
Full,f3,1324.1444444444448,62.9132732331933,1300.6522421356312,1347.6366467532584
Full,f4,0.0,0.0,0.0,0.0
Full,hv,0.3260161273589308,0.12500674313224855,0.2793378423372057,0.3726944123806559
Full,delta_h_mean,0.08847103839510848,0.024105054174143048,0.079470063239597,0.09747201355061995
Full,gini_delta_h,0.3630712296796846,0.07259248168864685,0.33596475153464384,0.39017770782472533
-health,f1,327.27777777777777,34.07936233881407,314.55233474366173,340.0032208118938
-health,f2,1947.0644761751807,171.59386574279543,1882.9902736767754,2011.1386786735861
-health,f3,1327.6666666666667,60.04812884493385,1305.2443268551274,1350.089006478206
-health,f4,0.0,0.0,0.0,0.0
-health,hv,0.6250495474011767,0.1339382492915348,0.5750361831690813,0.675062911633272
-health,delta_h_mean,0.0892842079309331,0.02465004614207492,0.08007972943011199,0.09848868643175421
-health,gini_delta_h,0.3675793193743107,0.07598559603475062,0.3392058315097129,0.3959528072389085
-adaptW,f1,329.7777777777777,41.1604032959973,314.408230595614,345.14732495994144
-adaptW,f2,2273.9686434633686,160.4184985501603,2214.067391655218,2333.869895271519
-adaptW,f3,1319.1888888888886,64.77387329439325,1295.0019270991706,1343.3758506786066
-adaptW,f4,0.0,0.0,0.0,0.0
-adaptW,hv,0.2983280190005723,0.10289211255657556,0.25990747274794185,0.3367485652532028
-adaptW,delta_h_mean,0.08901386954841352,0.02330898005523613,0.0803101533542162,0.09771758574261084
-adaptW,gini_delta_h,0.36887561273784225,0.062023417164973726,0.3457156881457334,0.3920355373299511
-impAstar,f1,335.04444444444454,45.77294733284194,317.95254501285604,352.13634387603304
-impAstar,f2,2255.9730673252807,196.34986678413912,2182.6548221164476,2329.291312534114
-impAstar,f3,1324.1444444444448,62.9132732331933,1300.6522421356312,1347.6366467532584
-impAstar,f4,0.0,0.0,0.0,0.0
-impAstar,hv,0.3260161273589308,0.12500674313224855,0.2793378423372057,0.3726944123806559
-impAstar,delta_h_mean,0.08847103839510848,0.024105054174143048,0.079470063239597,0.09747201355061995
-impAstar,gini_delta_h,0.3630712296796846,0.07259248168864685,0.33596475153464384,0.39017770782472533
-closedLoop,f1,335.04444444444454,45.77294733284194,317.95254501285604,352.13634387603304
-closedLoop,f2,2255.9730673252807,196.34986678413912,2182.6548221164476,2329.291312534114
-closedLoop,f3,1324.1444444444448,62.9132732331933,1300.6522421356312,1347.6366467532584
-closedLoop,f4,0.0,0.0,0.0,0.0
-closedLoop,hv,0.3260161273589308,0.12500674313224855,0.2793378423372057,0.3726944123806559
-closedLoop,delta_h_mean,0.08847103839510848,0.024105054174143048,0.079470063239597,0.09747201355061995
-closedLoop,gini_delta_h,0.3630712296796846,0.07259248168864685,0.33596475153464384,0.39017770782472533
hard-only,f1,327.27777777777777,34.07936233881407,314.55233474366173,340.0032208118938
hard-only,f2,1947.0644761751807,171.59386574279543,1882.9902736767754,2011.1386786735861
hard-only,f3,1327.6666666666667,60.04812884493385,1305.2443268551274,1350.089006478206
hard-only,f4,0.0,0.0,0.0,0.0
hard-only,hv,0.6250495474011767,0.1339382492915348,0.5750361831690813,0.675062911633272
hard-only,delta_h_mean,0.0892842079309331,0.02465004614207492,0.08007972943011199,0.09848868643175421
hard-only,gini_delta_h,0.3675793193743107,0.07598559603475062,0.3392058315097129,0.3959528072389085
GA-SA-multiSoH,f1,289.85555555555555,13.883666451091347,284.6713093020155,295.0398018090956
GA-SA-multiSoH,f2,2176.508918518704,155.62497402851884,2118.397598183635,2234.6202388537727
GA-SA-multiSoH,f3,1292.1722222222224,60.00955357104116,1269.7642866546817,1314.5801577897632
GA-SA-multiSoH,f4,0.0,0.0,0.0,0.0
GA-SA-multiSoH,hv,0.37369324406298626,0.16543526100229333,0.31191870236855196,0.43546778575742057
GA-SA-multiSoH,delta_h_mean,0.08904133351673194,0.02438246220991767,0.07993677249827622,0.09814589453518766
GA-SA-multiSoH,gini_delta_h,0.3653124288586215,0.07022994719787205,0.3390881355907387,0.39153672212650426
