seed,variant,f1,f2,f3,f4,hv,hv_sub,front_size,evals,wall_s,delta_h_mean,delta_h_max,gini_delta_h,T_end_max,cycles_max
1,Full,313.66666666666663,2398.7515021475597,1368.6666666666665,0.0,0.13027107485478887,0.33346911397998075,25,20000,0.739,0.06518339919480402,0.1878619806183771,0.5182807014576953,82.28830364834226,0.8660000000000007
1,-health,339.6666666666667,1978.6528774582853,1394.8333333333333,0.0,0.6513012564284435,0.7309071301528973,29,20000,0.7847503999983019,0.06236111865717988,0.1649712674216377,0.44453759061452014,83.88261938110097,0.9440000000000007
1,-adaptW,362.99999999999994,2307.2265053262154,1385.6666666666667,0.0,0.23070707193511014,0.5905661172510754,23,20000,0.7997892000021238,0.06451910937589533,0.16031428804840964,0.3839722329547781,83.92096745253957,1.0140000000000005
1,-impAstar,313.66666666666663,2398.7515021475597,1368.6666666666665,0.0,0.13027107485478887,0.33346911397998075,25,20000,0.8167467999992368,0.06518339919480402,0.1878619806183771,0.5182807014576953,82.28830364834226,0.8660000000000007
1,-closedLoop,313.66666666666663,2398.7515021475597,1368.6666666666665,0.0,0.13027107485478887,0.33346911397998075,25,20000,0.739,0.06518339919480402,0.1878619806183771,0.5182807014576953,82.28830364834226,0.8660000000000007
1,hard-only,339.6666666666667,1978.6528774582853,1394.8333333333333,0.0,0.6513012564284435,0.7309071301528973,29,20000,0.8119952999986708,0.06236111865717988,0.1649712674216377,0.44453759061452014,83.88261938110097,0.9440000000000007
1,GA-SA-multiSoH,290.3333333333333,2337.099268565971,1325.8333333333335,0.0,0.30616829287921643,0.7837324553359389,1,20000,6.855137099999411,0.06210402145716539,0.18701489578382158,0.46761208954100253,84.75265818390187,0.7960000000000006
2,Full,320.6666666666667,2380.0411273157383,1284.0,0.0,0.24896268514303208,0.545074529827549,34,20000,0.778,0.08147940593335652,0.22824026828199595,0.3900617055186528,84.38217748934007,0.8720000000000007
2,-health,291.3333333333333,1861.121080496507,1280.5,0.0,0.7617797952074458,0.6711759755849592,35,20000,0.8360393000002659,0.08479696365107443,0.20860858848268804,0.37031580773218575,83.08120717897339,0.7840000000000006
2,-adaptW,326.0,2145.8242050022186,1357.0,0.0,0.19310501450723883,0.42307808184009466,38,20000,0.8203087000001688,0.08419970185184034,0.20318505967060663,0.32567670678018246,81.04180434472843,0.8880000000000007
2,-impAstar,320.6666666666667,2380.0411273157383,1284.0,0.0,0.24896268514303208,0.545074529827549,34,20000,0.8313899999993737,0.08147940593335652,0.22824026828199595,0.3900617055186528,84.38217748934007,0.8720000000000007
2,-closedLoop,320.6666666666667,2380.0411273157383,1284.0,0.0,0.24896268514303208,0.545074529827549,34,20000,0.778,0.08147940593335652,0.22824026828199595,0.3900617055186528,84.38217748934007,0.8720000000000007
2,hard-only,291.3333333333333,1861.121080496507,1280.5,0.0,0.7617797952074458,0.6711759755849592,35,20000,0.8341355999982625,0.08479696365107443,0.20860858848268804,0.37031580773218575,83.08120717897339,0.7840000000000006
2,GA-SA-multiSoH,316.3333333333333,2178.480089019311,1259.5,0.0,0.155705009755921,0.320641268962402,1,20000,7.062428400000499,0.08077524940700627,0.18746226078181116,0.3621927333045949,82.08088326745235,0.8440000000000006
3,Full,303.0,2101.3339593757846,1389.3333333333333,0.0,0.30774271436434825,0.5168765215989906,46,20000,0.864,0.103923056312528,0.22907188932031863,0.33457488086705744,81.72313233739509,0.8340000000000006
3,-health,314.33333333333337,1949.9514056365188,1346.0,0.0,0.4597783575573773,0.48647855416283403,36,20000,0.8186289999975997,0.10297990453581223,0.1710689384912294,0.2650371404373908,83.45706841455832,0.8680000000000007
3,-adaptW,303.3333333333333,2276.8813929008866,1345.1666666666667,0.0,0.2381427919779419,0.39385410944415494,83,20000,0.8321375999985321,0.10224464235245931,0.18737721930811768,0.35025526401912255,83.96142499579594,0.8200000000000006
3,-impAstar,303.0,2101.3339593757846,1389.3333333333333,0.0,0.30774271436434825,0.5168765215989906,46,20000,0.8680553999984113,0.103923056312528,0.22907188932031863,0.33457488086705744,81.72313233739509,0.8340000000000006
3,-closedLoop,303.0,2101.3339593757846,1389.3333333333333,0.0,0.30774271436434825,0.5168765215989906,46,20000,0.864,0.103923056312528,0.22907188932031863,0.33457488086705744,81.72313233739509,0.8340000000000006
3,hard-only,314.33333333333337,1949.9514056365188,1346.0,0.0,0.4597783575573773,0.48647855416283403,36,20000,0.8214606000001368,0.10297990453581223,0.1710689384912294,0.2650371404373908,83.45706841455832,0.8680000000000007
3,GA-SA-multiSoH,306.0,2000.8815305912647,1323.6666666666665,0.0,0.427745707043243,0.7142857142857137,1,20000,7.277429900001152,0.10205516423946345,0.19918547661690045,0.304837161418241,84.97984803555609,0.8280000000000007
4,Full,389.33333333333337,2233.407227065492,1318.3333333333335,0.0,0.25629004020049573,0.38430847261265927,38,20000,3.967,0.12870262098032548,0.22811765671635365,0.34789969000523957,83.01478206876659,1.077999999999998
4,-health,298.66666666666663,2046.2469828227029,1308.6666666666665,0.0,0.5737471325494765,0.7487510164883359,70,20000,0.8507594000002427,0.13174430948091875,0.24264554937738403,0.3474550162004484,82.63372727518883,0.8060000000000006
4,-adaptW,357.00000000000006,2196.9137434144386,1329.1666666666665,0.0,0.38234001487944047,0.5894297124416544,46,20000,0.8717514999989362,0.12898986223903525,0.23261326160187779,0.3338377086135724,84.02835875918485,0.9960000000000008
4,-impAstar,389.33333333333337,2233.407227065492,1318.3333333333335,0.0,0.25629004020049573,0.38430847261265927,38,20000,0.8468779000031645,0.12870262098032548,0.22811765671635365,0.34789969000523957,83.01478206876659,1.077999999999998
4,-closedLoop,389.33333333333337,2233.407227065492,1318.3333333333335,0.0,0.25629004020049573,0.38430847261265927,38,20000,3.967,0.12870262098032548,0.22811765671635365,0.34789969000523957,83.01478206876659,1.077999999999998
4,hard-only,298.66666666666663,2046.2469828227029,1308.6666666666665,0.0,0.5737471325494765,0.7487510164883359,70,20000,0.8082060999986425,0.13174430948091875,0.24264554937738403,0.3474550162004484,82.63372727518883,0.8060000000000006
4,GA-SA-multiSoH,289.33333333333337,2310.351579105885,1264.1666666666667,0.0,0.3710969908539106,0.5849597104912183,1,20000,7.137467399999878,0.12998626953631048,0.2562837993829489,0.28770689679754957,83.55341498089496,0.7780000000000006
5,Full,328.6666666666667,2425.604079237512,1410.5,0.0,0.23770873954497238,0.4046496055301258,37,20000,4.037,0.11380143903234599,0.222303101389005,0.2973018282010935,84.1572571396839,0.8960000000000007
5,-health,305.0,2209.9523196325326,1425.1666666666667,0.0,0.4941129337654256,0.5713198862263715,34,20000,0.8751636000015424,0.11318682980124325,0.2381430113610724,0.36712631734719836,83.23975366720416,0.8400000000000006
5,-adaptW,295.66666666666663,2382.7180130348634,1427.3333333333335,0.0,0.3457182625164329,0.588513316000181,49,20000,0.8298996000012266,0.1154171221995571,0.2456072864202833,0.3512651270320435,84.21354861690168,0.8120000000000006
5,-impAstar,328.6666666666667,2425.604079237512,1410.5,0.0,0.23770873954497238,0.4046496055301258,37,20000,0.8425088999974832,0.11380143903234599,0.222303101389005,0.2973018282010935,84.1572571396839,0.8960000000000007
5,-closedLoop,328.6666666666667,2425.604079237512,1410.5,0.0,0.23770873954497238,0.4046496055301258,37,20000,4.037,0.11380143903234599,0.222303101389005,0.2973018282010935,84.1572571396839,0.8960000000000007
5,hard-only,305.0,2209.9523196325326,1425.1666666666667,0.0,0.4941129337654256,0.5713198862263715,34,20000,0.8224467000000004,0.11318682980124325,0.2381430113610724,0.36712631734719836,83.23975366720416,0.8400000000000006
5,GA-SA-multiSoH,302.6666666666667,2207.8053691173322,1382.0000000000002,0.0,0.5202358911991578,0.8855932203389831,1,20000,7.079486500002531,0.11249311193087878,0.2649602719604306,0.36101134500390075,85.88652010940632,0.8260000000000006
6,Full,292.6666666666667,2164.5446654290754,1330.0,0.0,0.35795898845137997,0.45574833597317604,23,20000,4.534,0.0842925014195949,0.22365139282983082,0.3128330368282173,84.31515665821175,0.8020000000000006
6,-health,382.6666666666667,1828.0277695469213,1352.0,0.0,0.6066695773939197,0.3545829215124428,88,20000,0.8265581999985443,0.08510529184452131,0.2315971026841681,0.35851161971899304,81.05657395869156,1.0579999999999987
6,-adaptW,296.0,2028.2408293391227,1323.0,0.0,0.5804936046394846,0.8511615506665197,57,20000,0.8285723000008147,0.08574992006082147,0.21240809733721733,0.33868454862826747,81.6201679223717,0.7980000000000006
6,-impAstar,292.6666666666667,2164.5446654290754,1330.0,0.0,0.35795898845137997,0.45574833597317604,23,20000,0.8339698999989196,0.0842925014195949,0.22365139282983082,0.3128330368282173,84.31515665821175,0.8020000000000006
6,-closedLoop,292.6666666666667,2164.5446654290754,1330.0,0.0,0.35795898845137997,0.45574833597317604,23,20000,4.534,0.0842925014195949,0.22365139282983082,0.3128330368282173,84.31515665821175,0.8020000000000006
6,hard-only,382.6666666666667,1828.0277695469213,1352.0,0.0,0.6066695773939197,0.3545829215124428,88,20000,0.8209888000019419,0.08510529184452131,0.2315971026841681,0.35851161971899304,81.05657395869156,1.0579999999999987
6,GA-SA-multiSoH,283.3333333333333,2134.328523784577,1322.833333333333,0.0,0.396697209976713,0.5479657892320554,1,20000,7.09728879999966,0.08728277695744736,0.23602161214063966,0.3791389313315181,82.81423753153352,0.7740000000000006
7,Full,350.0,2292.0694770947803,1356.4999999999998,0.0,0.06854906066571989,0.1449171303453483,32,20000,4.237,0.11043118140717198,0.2484236733839721,0.40252542764208643,82.30762413909531,0.9600000000000007
