alpha,seed,f1,f2_full,share_low,gini_delta_h,delta_h_low_mean,delta_h_max,h_end_min_lowgrp,f4_own
0.1,1,335.00000000000006,3141.0771933578453,0.48,0.4569156808940038,-0.30170165362032236,0.141020626644065,0.7452476019220486,28.64615424123759
0.1,2,315.6666666666667,2898.8184113033094,0.5,0.33172269076478944,-0.36640751440316827,0.184929168428269,0.7513166130942707,30.52195112965258
0.1,3,573.3333333333333,4556.09484220232,0.18,0.3931161940121577,-0.15473362222689585,0.22728118287450683,0.3213078229153842,5.643118133142007
0.1,4,586.3333333333334,4876.274151120469,0.24,0.370760696454008,-0.26033696403189677,0.2558351583109242,0.36807036336773774,4.332202225887211
0.1,5,561.0,4391.471267939585,0.22,0.5031485324639964,-0.06984450204545087,0.25436580823045796,0.3278889415819196,1.4338834624270804
0.1,6,332.3333333333333,3142.0106940239825,0.48,0.49591160664319167,-0.3322404365149761,0.07002707412507647,0.7542764289995524,26.394086581299053
0.1,7,622.6666666666667,5062.439979657518,0.14,0.29549328409542386,-0.22728964023377712,0.2926028011835272,0.3601785217252042,6.30692676397743
0.1,8,608.6666666666667,4949.092675802463,0.26,0.4813371352291551,-0.14668510148090377,0.20666492571325445,0.32032786237925137,2.7916013120544387
0.1,9,576.0,4992.414074023696,0.18,0.49395648511527135,-0.15633607804202168,0.19597818198247652,0.37073366093323484,3.146674371167018
0.1,10,542.3333333333334,4315.335686362512,0.22,0.31213587597712666,-0.22673217825542577,0.23724305483378372,0.3390643909447751,2.768663927420924
0.1,11,683.3333333333334,4861.6394540470155,0.2,0.3187244383907897,-0.27945528331612834,0.24976286112656843,0.718383135437231,3.2326831563255567
0.1,12,807.3333333333333,5510.183485057022,0.14,0.48349131436694814,-0.20736846339399082,0.23842862777288476,0.3130542734150614,3.432303163889834
0.1,13,587.0,4655.319203296408,0.22,0.43225078258600713,-0.07496881326686163,0.27777285794697026,0.40337630160904503,1.066834836408778
0.1,14,656.6666666666666,5303.769628947343,0.14,0.4873095779735541,-0.2061236078334983,0.16633180524639113,0.3184417814980253,6.326581001770112
0.1,15,314.66666666666663,2953.9784117249037,0.48,0.3276235048251972,-0.35780005999107994,0.19768523334879495,0.766173727540101,30.581048985248817
0.1,16,635.0,4543.80145234949,0.28,0.4597539575386551,-0.1705574911089157,0.18294715846147336,0.306164891857608,5.762491187490877
0.1,17,522.0,4036.523035185789,0.24,0.4953603601233507,-0.19103977994283397,0.2371812323838448,0.4148661270249999,4.493152545814913
0.1,18,637.6666666666666,4511.669689138898,0.24,0.2953938267405294,-0.16608655786118437,0.20814397506591908,0.4558863766453769,2.0251290628447247
0.1,19,680.6666666666666,5060.778300450047,0.18,0.42518797248118867,-0.21493033161905584,0.24669754614806316,0.3029397554043654,6.058463400937233
0.1,20,311.6666666666667,2769.3831415142286,0.5,0.3700783948730493,-0.27185185135832934,0.13489743448376568,0.7632382399979406,16.9819013579397
0.1,21,672.6666666666667,4577.553974765988,0.2,0.41117268743086544,-0.12415154009623872,0.24706271432490046,0.36783207786804173,2.0079663375398007
0.1,22,614.6666666666667,4782.36753021949,0.3,0.4247412116116387,-0.15042480817244558,0.268036771222426,0.3137393541194783,3.3249017813951514
0.1,23,376.0,2946.4948173553835,0.5,0.36629372938704274,-0.3015135923569775,0.202341683360569,0.7378972199282421,23.73454332088654
0.1,24,596.9999999999999,4741.581785545168,0.16,0.4141928615713262,-0.17807586239280512,0.24965586307215204,0.30667490420366283,2.771027656925229
0.1,25,698.3333333333334,4872.581010851764,0.18,0.45771225685750294,-0.25024932421673196,0.12065836659806428,0.3938311204652987,4.634730156536157
0.1,26,533.6666666666667,3967.39697277803,0.26,0.33358504681904,-0.23027002474468555,0.22922489595856343,0.3074937805257015,3.174868600551733
0.1,27,326.0,3140.043890454752,0.48,0.32142849125967987,-0.31718979433746314,0.18346873753307202,0.7440207890143686,23.718553736235293
0.1,28,680.6666666666667,5457.7716241664575,0.12,0.427721391179007,-0.18788984876843634,0.24596699816348688,0.34964960671307627,3.9448885844957178
0.1,29,670.0000000000001,5190.951618241302,0.2,0.5104809002188528,-0.15318247466374185,0.27709730383376996,0.3368144063294138,2.7787496029994863
0.1,30,600.6666666666667,4533.8432101281915,0.18,0.4660734699173421,-0.1454583139209161,0.27022800520175816,0.34748439816501486,2.7751576168043335
0.3,1,335.00000000000006,3141.0771933578453,0.48,0.4569156808940038,-0.30170165362032236,0.141020626644065,0.7452476019220486,85.93846272371276
0.3,2,315.6666666666667,2898.8184113033094,0.5,0.33172269076478944,-0.36640751440316827,0.184929168428269,0.7513166130942707,91.56585338895773
0.3,3,573.3333333333333,4556.09484220232,0.18,0.3931161940121577,-0.15473362222689585,0.22728118287450683,0.3213078229153842,16.929354399426018
0.3,4,586.3333333333334,4876.274151120469,0.24,0.370760696454008,-0.26033696403189677,0.2558351583109242,0.36807036336773774,12.996606677661633
0.3,5,561.0,4391.471267939585,0.22,0.5031485324639964,-0.06984450204545087,0.25436580823045796,0.3278889415819196,4.30165038728124
0.3,6,332.3333333333333,3142.0106940239825,0.48,0.49591160664319167,-0.3322404365149761,0.07002707412507647,0.7542764289995524,79.18225974389715
0.3,7,622.6666666666667,5062.439979657518,0.14,0.29549328409542386,-0.22728964023377712,0.2926028011835272,0.3601785217252042,18.92078029193229
0.3,8,608.6666666666667,4949.092675802463,0.26,0.4813371352291551,-0.14668510148090377,0.20666492571325445,0.32032786237925137,8.374803936163316
0.3,9,576.0,4992.414074023696,0.18,0.49395648511527135,-0.15633607804202168,0.19597818198247652,0.37073366093323484,9.440023113501054
0.3,10,542.3333333333334,4315.335686362512,0.22,0.31213587597712666,-0.22673217825542577,0.23724305483378372,0.3390643909447751,8.305991782262772
0.3,11,683.3333333333334,4861.6394540470155,0.2,0.3187244383907897,-0.27945528331612834,0.24976286112656843,0.718383135437231,9.69804946897667
0.3,12,807.3333333333333,5510.183485057022,0.14,0.48349131436694814,-0.20736846339399082,0.23842862777288476,0.3130542734150614,10.296909491669501
0.3,13,587.0,4655.319203296408,0.22,0.43225078258600713,-0.07496881326686163,0.27777285794697026,0.40337630160904503,3.200504509226334
0.3,14,656.6666666666666,5303.769628947343,0.14,0.4873095779735541,-0.2061236078334983,0.16633180524639113,0.3184417814980253,18.979743005310333
0.3,15,314.66666666666663,2953.9784117249037,0.48,0.3276235048251972,-0.35780005999107994,0.19768523334879495,0.766173727540101,91.74314695574644
0.3,16,635.0,4543.80145234949,0.28,0.4597539575386551,-0.1705574911089157,0.18294715846147336,0.306164891857608,17.28747356247263
0.3,17,522.0,4036.523035185789,0.24,0.4953603601233507,-0.19103977994283397,0.2371812323838448,0.4148661270249999,13.479457637444737
0.3,18,637.6666666666666,4511.669689138898,0.24,0.2953938267405294,-0.16608655786118437,0.20814397506591908,0.4558863766453769,6.075387188534174
0.3,19,680.6666666666666,5060.778300450047,0.18,0.42518797248118867,-0.21493033161905584,0.24669754614806316,0.3029397554043654,18.1753902028117
0.3,20,311.6666666666667,2769.3831415142286,0.5,0.3700783948730493,-0.27185185135832934,0.13489743448376568,0.7632382399979406,50.94570407381911
0.3,21,672.6666666666667,4577.553974765988,0.2,0.41117268743086544,-0.12415154009623872,0.24706271432490046,0.36783207786804173,6.023899012619402
0.3,22,614.6666666666667,4782.36753021949,0.3,0.4247412116116387,-0.15042480817244558,0.268036771222426,0.3137393541194783,9.974705344185454
0.3,23,376.0,2946.4948173553835,0.5,0.36629372938704274,-0.3015135923569775,0.202341683360569,0.7378972199282421,71.20362996265962
0.3,24,596.9999999999999,4741.581785545168,0.16,0.4141928615713262,-0.17807586239280512,0.24965586307215204,0.30667490420366283,8.313082970775685
0.3,25,698.3333333333334,4872.581010851764,0.18,0.45771225685750294,-0.25024932421673196,0.12065836659806428,0.3938311204652987,13.904190469608471
0.3,26,533.6666666666667,3967.39697277803,0.26,0.33358504681904,-0.23027002474468555,0.22922489595856343,0.3074937805257015,9.524605801655197
0.3,27,326.0,3140.043890454752,0.48,0.32142849125967987,-0.31718979433746314,0.18346873753307202,0.7440207890143686,71.15566120870588
0.3,28,680.6666666666667,5457.7716241664575,0.12,0.427721391179007,-0.18788984876843634,0.24596699816348688,0.34964960671307627,11.834665753487153
0.3,29,670.0000000000001,5190.951618241302,0.2,0.5104809002188528,-0.15318247466374185,0.27709730383376996,0.3368144063294138,8.336248808998459
0.3,30,600.6666666666667,4533.8432101281915,0.18,0.4660734699173421,-0.1454583139209161,0.27022800520175816,0.34748439816501486,8.325472850413
0.5,1,335.00000000000006,3141.0771933578453,0.48,0.4569156808940038,-0.30170165362032236,0.141020626644065,0.7452476019220486,143.23077120618794
0.5,2,315.6666666666667,2898.8184113033094,0.5,0.33172269076478944,-0.36640751440316827,0.184929168428269,0.7513166130942707,152.6097556482629
0.5,3,573.3333333333333,4556.09484220232,0.18,0.3931161940121577,-0.15473362222689585,0.22728118287450683,0.3213078229153842,28.21559066571003
0.5,4,586.3333333333334,4876.274151120469,0.24,0.370760696454008,-0.26033696403189677,0.2558351583109242,0.36807036336773774,21.661011129436055
0.5,5,561.0,4391.471267939585,0.22,0.5031485324639964,-0.06984450204545087,0.25436580823045796,0.3278889415819196,7.169417312135401
0.5,6,332.3333333333333,3142.0106940239825,0.48,0.49591160664319167,-0.3322404365149761,0.07002707412507647,0.7542764289995524,131.97043290649526
0.5,7,622.6666666666667,5062.439979657518,0.14,0.29549328409542386,-0.22728964023377712,0.2926028011835272,0.3601785217252042,31.534633819887148
0.5,8,608.6666666666667,4949.092675802463,0.26,0.4813371352291551,-0.14668510148090377,0.20666492571325445,0.32032786237925137,13.958006560272192
0.5,9,576.0,4992.414074023696,0.18,0.49395648511527135,-0.15633607804202168,0.19597818198247652,0.37073366093323484,15.73337185583509
0.5,10,542.3333333333334,4315.335686362512,0.22,0.31213587597712666,-0.22673217825542577,0.23724305483378372,0.3390643909447751,13.84331963710462
0.5,11,683.3333333333334,4861.6394540470155,0.2,0.3187244383907897,-0.27945528331612834,0.24976286112656843,0.718383135437231,16.163415781627783
0.5,12,807.3333333333333,5510.183485057022,0.14,0.48349131436694814,-0.20736846339399082,0.23842862777288476,0.3130542734150614,17.161515819449168
0.5,13,587.0,4655.319203296408,0.22,0.43225078258600713,-0.07496881326686163,0.27777285794697026,0.40337630160904503,5.33417418204389
0.5,14,656.6666666666666,5303.769628947343,0.14,0.4873095779735541,-0.2061236078334983,0.16633180524639113,0.3184417814980253,31.632905008850557
0.5,15,314.66666666666663,2953.9784117249037,0.48,0.3276235048251972,-0.35780005999107994,0.19768523334879495,0.766173727540101,152.90524492624408
0.5,16,635.0,4543.80145234949,0.28,0.4597539575386551,-0.1705574911089157,0.18294715846147336,0.306164891857608,28.812455937454384
0.5,17,522.0,4036.523035185789,0.24,0.4953603601233507,-0.19103977994283397,0.2371812323838448,0.4148661270249999,22.465762729074562
0.5,18,637.6666666666666,4511.669689138898,0.24,0.2953938267405294,-0.16608655786118437,0.20814397506591908,0.4558863766453769,10.125645314223624
0.5,19,680.6666666666666,5060.778300450047,0.18,0.42518797248118867,-0.21493033161905584,0.24669754614806316,0.3029397554043654,30.292317004686165
0.5,20,311.6666666666667,2769.3831415142286,0.5,0.3700783948730493,-0.27185185135832934,0.13489743448376568,0.7632382399979406,84.90950678969851
0.5,21,672.6666666666667,4577.553974765988,0.2,0.41117268743086544,-0.12415154009623872,0.24706271432490046,0.36783207786804173,10.039831687699003
0.5,22,614.6666666666667,4782.36753021949,0.3,0.4247412116116387,-0.15042480817244558,0.268036771222426,0.3137393541194783,16.624508906975755
0.5,23,376.0,2946.4948173553835,0.5,0.36629372938704274,-0.3015135923569775,0.202341683360569,0.7378972199282421,118.6727166044327
0.5,24,596.9999999999999,4741.581785545168,0.16,0.4141928615713262,-0.17807586239280512,0.24965586307215204,0.30667490420366283,13.855138284626143
0.5,25,698.3333333333334,4872.581010851764,0.18,0.45771225685750294,-0.25024932421673196,0.12065836659806428,0.3938311204652987,23.173650782680784
0.5,26,533.6666666666667,3967.39697277803,0.26,0.33358504681904,-0.23027002474468555,0.22922489595856343,0.3074937805257015,15.874343002758662
0.5,27,326.0,3140.043890454752,0.48,0.32142849125967987,-0.31718979433746314,0.18346873753307202,0.7440207890143686,118.59276868117647
0.5,28,680.6666666666667,5457.7716241664575,0.12,0.427721391179007,-0.18788984876843634,0.24596699816348688,0.34964960671307627,19.724442922478588
0.5,29,670.0000000000001,5190.951618241302,0.2,0.5104809002188528,-0.15318247466374185,0.27709730383376996,0.3368144063294138,13.893748014997431
0.5,30,600.6666666666667,4533.8432101281915,0.18,0.4660734699173421,-0.1454583139209161,0.27022800520175816,0.34748439816501486,13.875788084021666
0.8,1,335.00000000000006,3141.0771933578453,0.48,0.4569156808940038,-0.30170165362032236,0.141020626644065,0.7452476019220486,229.1692339299007
0.8,2,315.6666666666667,2898.8184113033094,0.5,0.33172269076478944,-0.36640751440316827,0.184929168428269,0.7513166130942707,244.17560903722065
0.8,3,573.3333333333333,4556.09484220232,0.18,0.3931161940121577,-0.15473362222689585,0.22728118287450683,0.3213078229153842,45.144945065136056
0.8,4,586.3333333333334,4876.274151120469,0.24,0.370760696454008,-0.26033696403189677,0.2558351583109242,0.36807036336773774,34.65761780709769
0.8,5,561.0,4391.471267939585,0.22,0.5031485324639964,-0.06984450204545087,0.25436580823045796,0.3278889415819196,11.471067699416643
0.8,6,332.3333333333333,3142.0106940239825,0.48,0.49591160664319167,-0.3322404365149761,0.07002707412507647,0.7542764289995524,211.15269265039242
0.8,7,622.6666666666667,5062.439979657518,0.14,0.29549328409542386,-0.22728964023377712,0.2926028011835272,0.3601785217252042,50.45541411181944
0.8,8,608.6666666666667,4949.092675802463,0.26,0.4813371352291551,-0.14668510148090377,0.20666492571325445,0.32032786237925137,22.33281049643551
0.8,9,576.0,4992.414074023696,0.18,0.49395648511527135,-0.15633607804202168,0.19597818198247652,0.37073366093323484,25.173394969336144
0.8,10,542.3333333333334,4315.335686362512,0.22,0.31213587597712666,-0.22673217825542577,0.23724305483378372,0.3390643909447751,22.149311419367393
0.8,11,683.3333333333334,4861.6394540470155,0.2,0.3187244383907897,-0.27945528331612834,0.24976286112656843,0.718383135437231,25.861465250604454
