config,algo,seed,hv,wall_s
NSGA-III|NSGA3_H|4,NSGA-III,12,0.49347107737081447,1.41
NSGA-III|NSGA3_H|4,NSGA-III,13,0.5212178316197976,1.449
NSGA-III|NSGA3_H|4,NSGA-III,14,0.3440717785906098,1.429
NSGA-III|NSGA3_H|4,NSGA-III,15,0.7681548709192302,1.421
NSGA-III|NSGA3_H|4,NSGA-III,16,0.3315023774506012,1.391
NSGA-III|NSGA3_H|4,NSGA-III,17,0.5327517475522994,1.33
NSGA-III|NSGA3_H|4,NSGA-III,18,0.41206703165557884,1.4
NSGA-III|NSGA3_H|4,NSGA-III,19,0.5306160540196772,1.428
NSGA-III|NSGA3_H|4,NSGA-III,20,0.44438760306439784,1.436
NSGA-III|NSGA3_H|4,NSGA-III,21,0.2544527534953481,1.428
NSGA-III|NSGA3_H|4,NSGA-III,22,0.596805130391785,1.391
NSGA-III|NSGA3_H|4,NSGA-III,23,0.625832743437068,1.348
NSGA-III|NSGA3_H|4,NSGA-III,24,0.6229812317062835,1.393
NSGA-III|NSGA3_H|4,NSGA-III,25,0.5463711689490646,1.439
NSGA-III|NSGA3_H|4,NSGA-III,26,0.6342790162033614,1.437
NSGA-III|NSGA3_H|4,NSGA-III,27,0.3458202004423956,1.438
NSGA-III|NSGA3_H|4,NSGA-III,28,0.36105495771421037,1.409
NSGA-III|NSGA3_H|4,NSGA-III,29,0.48302269246917917,1.346
NSGA-III|NSGA3_H|4,NSGA-III,30,0.6003787012348853,1.356
NSGA-III|NSGA3_H|6,NSGA-III,1,0.2248700741272922,1.507
NSGA-III|NSGA3_H|6,NSGA-III,2,0.29198830653809804,1.491
NSGA-III|NSGA3_H|6,NSGA-III,3,0.4825094837562251,1.51
NSGA-III|NSGA3_H|6,NSGA-III,4,0.7296250214987952,1.526
NSGA-III|NSGA3_H|6,NSGA-III,5,0.23584724369971427,1.468
NSGA-III|NSGA3_H|6,NSGA-III,6,0.3882303440701317,1.548
NSGA-III|NSGA3_H|6,NSGA-III,7,0.4022434934247925,1.516
NSGA-III|NSGA3_H|6,NSGA-III,8,0.5814806356253605,1.506
NSGA-III|NSGA3_H|6,NSGA-III,9,0.4078347068712775,1.503
NSGA-III|NSGA3_H|6,NSGA-III,10,0.3075427324442337,1.494
NSGA-III|NSGA3_H|6,NSGA-III,11,0.2479909634428248,1.488
NSGA-III|NSGA3_H|6,NSGA-III,12,0.6684995195169723,1.49
NSGA-III|NSGA3_H|6,NSGA-III,13,0.5246343526230166,1.508
NSGA-III|NSGA3_H|6,NSGA-III,14,0.3456267217443484,1.502
NSGA-III|NSGA3_H|6,NSGA-III,15,0.8476619486813782,1.499
NSGA-III|NSGA3_H|6,NSGA-III,16,0.20240230028616887,1.51
NSGA-III|NSGA3_H|6,NSGA-III,17,0.6707689832234567,1.492
NSGA-III|NSGA3_H|6,NSGA-III,18,0.7195481049173407,1.501
NSGA-III|NSGA3_H|6,NSGA-III,19,0.44591681847549514,1.47
NSGA-III|NSGA3_H|6,NSGA-III,20,0.5885104745930514,1.464
NSGA-III|NSGA3_H|6,NSGA-III,21,0.31272065913471686,1.457
NSGA-III|NSGA3_H|6,NSGA-III,22,0.6581358090784075,1.445
NSGA-III|NSGA3_H|6,NSGA-III,23,0.3296004110509946,1.437
NSGA-III|NSGA3_H|6,NSGA-III,24,0.5125087567862578,1.467
NSGA-III|NSGA3_H|6,NSGA-III,25,0.8649241455832035,1.451
NSGA-III|NSGA3_H|6,NSGA-III,26,0.572506137237895,1.46
NSGA-III|NSGA3_H|6,NSGA-III,27,0.24814104038536156,1.447
NSGA-III|NSGA3_H|6,NSGA-III,28,0.8165887562275387,1.44
NSGA-III|NSGA3_H|6,NSGA-III,29,0.37248006572529746,1.449
NSGA-III|NSGA3_H|6,NSGA-III,30,0.45680928351346456,1.442
