severity,n,det_rate_first,det_rate_ever,false_alarm_per_run,precision_first,recall_first,f1_first,distractor_warn_rate,distractor_n,latency_mean,latency_std,deg_pct_mean,deg_pct_std
105.0,30,0.0,0.0,0.0,nan,0.0,nan,0.0,30,,,6.613813388923843,20.991929967216294
109.0,30,0.0,0.0,0.0,nan,0.0,nan,0.0,30,,,12.558282278149019,32.63156555606958
111.0,30,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,616.0458177245636,16.459877970061864,14.436686556659803,26.62520563352944
113.0,30,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,433.97915105789707,14.145854782522312,18.05811606596928,27.954149512468117
117.0,30,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,328.2791510578971,13.138286469013533,25.779850482210385,27.679288312752323
121.0,30,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,278.24581772456366,12.30678970746151,31.61687212175386,32.87211525274917
125.0,30,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,246.24581772456366,11.61881983689434,33.275094512220754,30.439931243557947
