scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,noFLC,7,0,150.0,180.0,220.0,thermal,6,0.7,355.0,888.0,150.14084507042253,0,53,53,100.0,3,113.6837000012747,644.9964000021282,28000,439.0,3,696.0,1,0.5899316479465356,10
compound,moead-cl,7,0,150.0,180.0,220.0,thermal,6,0.7,355.0,695.0,95.77464788732394,0,53,53,100.0,3,552.9079999978421,3866.227799997432,28000,439.0,3,None,1,0.5899316479465356,10
compound,EHCO,8,0,150.0,180.0,220.0,thermal,6,0.7,350.0,601.0,71.71428571428572,0,53,53,100.0,3,122.117499999149,635.0581999977294,28000,424.0,1,None,1,0.5724008093859627,10
compound,A*-GA,8,0,150.0,180.0,220.0,thermal,6,0.7,312.0,1345.0,331.0897435897436,0,53,53,100.0,0,,0.0,0,443.0,3,None,1,0.5581922095544382,10
compound,noFLC,8,0,150.0,180.0,220.0,thermal,6,0.7,350.0,642.0,83.42857142857143,0,53,53,100.0,2,122.12230000295676,227.84700000556768,8000,424.0,1,None,1,0.5724008093859627,10
compound,moead-cl,8,0,150.0,180.0,220.0,thermal,6,0.7,350.0,612.0,74.85714285714286,0,53,53,100.0,3,556.6614999988815,3862.6919999987877,28000,437.0,1,None,1,0.5786060220733119,10
compound,EHCO,9,0,150.0,180.0,220.0,thermal,6,0.7,373.0,804.0,115.54959785522789,0,53,53,100.0,3,118.9888000008068,474.57460000077845,28000,444.0,0,None,1,0.5605906207045658,10
compound,A*-GA,9,0,150.0,180.0,220.0,thermal,6,0.7,303.0,830.0,173.92739273927393,0,53,53,100.0,0,,0.0,0,459.0,0,None,1,0.5601484285739073,10
compound,noFLC,9,0,150.0,180.0,220.0,thermal,6,0.7,373.0,677.0,81.50134048257372,0,53,53,100.0,3,122.83759999991162,585.6364999999641,28000,444.0,4,None,1,0.5692778639546264,10
compound,moead-cl,9,0,150.0,180.0,220.0,thermal,6,0.7,373.0,804.0,115.54959785522789,0,53,53,100.0,3,560.9033999971871,3841.6263999970397,28000,444.0,0,None,1,0.5605906207045658,10
compound,EHCO,10,0,150.0,180.0,220.0,thermal,6,0.7,284.0,547.0,92.6056338028169,0,53,53,100.0,2,122.51009999818052,221.35309999794117,8000,446.0,7,None,1,0.5764864807843051,10
