strategy,metric,mean,std,n
A*-GA,deg_pct,281.85265055000025,173.2520839032563,150
A*-GA,f1_event,1156.0,522.7824755847536,150
A*-GA,n_replans,0.0,0.0,150
A*-GA,response_ms_total,0.0,0.0,150
A*-GA,completion_pct,99.9622641509434,0.26503587365856046,150
A*-GA,min_h,0.47090745231280634,0.10988133495877132,150
A*-GA,warn_t,363.85333333333335,100.66352929315518,150
EHCO,deg_pct,104.18579881840203,64.09036202498142,150
EHCO,f1_event,668.3533333333334,206.8436862930172,150
EHCO,n_replans,2.7866666666666666,0.41103350941413225,150
EHCO,response_ms_total,608.7348933336034,205.64992705015072,150
EHCO,completion_pct,100.0,0.0,150
EHCO,min_h,0.4964702510837098,0.09963748395300039,150
EHCO,warn_t,361.20666666666665,98.6258128583419,150
moead-cl,deg_pct,97.57378028492992,63.75802129831104,150
moead-cl,f1_event,643.1666666666666,186.72674708263582,150
moead-cl,n_replans,2.74,0.4401037095592188,150
moead-cl,response_ms_total,3137.5804006663384,1216.5832313973287,150
moead-cl,completion_pct,100.0,0.0,150
moead-cl,min_h,0.4962411183805396,0.10191022335105827,150
moead-cl,warn_t,361.2,99.27353574507589,150
noFLC,deg_pct,112.71332843647627,70.86110902075201,150
noFLC,f1_event,693.9066666666666,220.5140530811222,150
noFLC,n_replans,2.78,0.4156340672422666,150
noFLC,response_ms_total,598.6886326662594,203.0895414405833,150
noFLC,completion_pct,100.0,0.0,150
noFLC,min_h,0.4941419983371776,0.10085848026926653,150
noFLC,warn_t,361.54,98.9576297372844,150
