arm,metric,mean,std,ci95_lo,ci95_hi,n
full,f1,582.2,106.88223906159489,542.2895160239542,622.1104839760459,30
full,f2_full,4281.470047992329,699.7572169625781,4020.1764089377325,4542.763687046924,30
full,f4_full,29.81153744207829,24.43377708039307,20.687815136080104,38.935259748076476,30
full,f1_min,310.37777777777774,13.779248469275565,305.2325218394356,315.52303371611987,30
full,f4_full_min,17.762086869032878,7.80542842737098,14.847491994226427,20.676681743839328,30
full,f1_eqw,367.0222222222221,25.608746909270863,357.4597589716154,376.5846854728289,30
full,f2_full_eqw,2960.6613770932136,206.33649639856577,2883.6140631008234,3037.7086910856037,30
full,f4_full_eqw,80.55877309693362,27.71740005389277,70.20892582183077,90.90862037203647,30
full,share_low,0.23666666666666672,0.09980440641690068,0.1993990888350965,0.27393424449823695,30
full,delta_h_mean,-0.04289956057037735,0.04305834571288017,-0.05897781109821864,-0.026821310042536066,30
full,delta_h_max,0.2231175397024027,0.03903152732509278,0.20854292787217157,0.23769215153263382,30
full,gini_delta_h,0.39691316100819984,0.08671090382584384,0.3645347773957883,0.42929154462061136,30
full,h_end_min,0.40614263007760454,0.1337139413457511,0.35621302380898845,0.4560722363462206,30
full,h_end_min_lowgrp,0.40778695277628957,0.13796293690563835,0.35627074549055365,0.4593031600620255,30
full,delta_h_low_mean,-0.2126639576194667,0.07418996869415136,-0.24036694721575413,-0.18496096802317924,30
full,delta_h_high_mean,0.12686483647871197,0.041140114678383695,0.1115028651908715,0.14222680776655244,30
full,T_end_max,86.27361186939828,1.6995091017700221,85.6390047413211,86.90821899747546,30
full,hv,0.47506488507383454,0.05257099721793086,0.45543455209716616,0.4946952180505029,30
hard,f1,563.311111111111,30.044785642715592,552.0922037745394,574.5300184476827,30
hard,f2_full,5219.178294228706,295.29991869219066,5108.9114924048745,5329.445096052538,30
hard,f4_full,0.0,0.0,0.0,0.0,30
hard,f1_min,540.4222222222223,24.202202701016667,531.3849712105992,549.4594732338454,30
hard,f4_full_min,0.0,0.0,0.0,0.0,30
hard,f1_eqw,547.8222222222223,23.776212932358533,538.9440384044124,556.7004060400322,30
hard,f2_full_eqw,5208.477445607703,287.18286454890136,5101.241601613373,5315.713289602033,30
hard,f4_full_eqw,0.0,0.0,0.0,0.0,30
hard,share_low,0.0,0.0,0.0,0.0,30
hard,delta_h_mean,0.07303416057207095,0.020299187412729604,0.06545431942095493,0.08061400172318696,30
hard,delta_h_max,0.24244118379775037,0.042004555823941185,0.22675642488129255,0.2581259427142082,30
hard,gini_delta_h,0.6429162992946164,0.046613148038931795,0.6255106637632655,0.6603219348259672,30
hard,h_end_min,0.34747163153753285,0.04339137955179927,0.3312690241304911,0.3636742389445746,30
hard,h_end_min_lowgrp,0.34747163153753285,0.04339137955179927,0.3312690241304911,0.3636742389445746,30
hard,delta_h_low_mean,0.0,0.0,0.0,0.0,30
hard,delta_h_high_mean,0.1460683211441419,0.04059837482545921,0.13090863884190987,0.16122800344637392,30
hard,T_end_max,89.3532984044587,1.4954923021832698,88.79487240134897,89.91172440756843,30
nohealth,f1,325.5666666666666,33.637366332593636,313.00626765369583,338.1270656796374,30
nohealth,f2_full,2642.7457532536864,155.19789471575726,2584.793906954885,2700.6975995524876,30
nohealth,f4_full,131.4314718895973,32.097836329274614,119.44594282758908,143.41700095160553,30
nohealth,f1_min,286.78888888888895,12.10948880132329,282.26713145747135,291.31064632030655,30
nohealth,f4_full_min,121.28963001985372,30.482066531481358,109.90743931592988,132.67182072377756,30
nohealth,f1_eqw,299.2222222222223,19.784922726794672,291.8344106607523,306.61003378369224,30
nohealth,f2_full_eqw,2589.109434647902,150.9628748464184,2532.7389707576044,2645.4798985382,30
nohealth,f4_full_eqw,127.36860628484854,29.985956667694378,116.171666048569,138.56554652112808,30
nohealth,share_low,0.4840000000000001,0.033383869737055503,0.47153425817145056,0.49646574182854963,30
nohealth,delta_h_mean,-0.11109366729689776,0.026179131801840557,-0.12086911576670417,-0.10131821882709136,30
nohealth,delta_h_max,0.19333237142653698,0.03849202917843372,0.17895921151503796,0.207705531338036,30
nohealth,gini_delta_h,0.34488118202036855,0.07004282827290197,0.3187267601073732,0.3710356039333639,30
nohealth,h_end_min,0.7365925986105493,0.010500249047800907,0.732671741178612,0.7405134560424865,30
nohealth,h_end_min_lowgrp,0.7445021948530088,0.012754446696298573,0.7397396061856569,0.7492647835203607,30
nohealth,delta_h_low_mean,-0.31683714731915325,0.034321105852136796,-0.32965285886466544,-0.30402143577364105,30
nohealth,delta_h_high_mean,0.09464981272535766,0.04289207270278748,0.07863364955986223,0.1106659758908531,30
nohealth,T_end_max,83.72589537690632,1.8625328568458936,83.03041417824647,84.42137657556617,30
moead,f1,362.48888888888894,49.39749891549169,344.04355965334275,380.9342181244351,30
moead,f2_full,2785.4332246901017,328.876055865641,2662.6288871970714,2908.237562183132,30
moead,f4_full,84.83017345483485,22.857377463985767,76.29508843958627,93.36525847008343,30
moead,f1_min,296.5444444444445,14.986196288005543,290.94850678384176,302.1403821050472,30
moead,f4_full_min,70.3538117574157,18.001414755763147,63.63197301728592,77.07565049754547,30
moead,f1_eqw,307.76666666666665,19.459191999070907,300.50048495785944,315.03284837547386,30
moead,f2_full_eqw,2511.5412377183775,171.07939818900903,2447.659140561719,2575.423334875036,30
moead,f4_full_eqw,113.67304431574402,27.187336719042268,103.52112594274482,123.82496268874323,30
moead,share_low,0.42133333333333334,0.057519611847842274,0.3998551572854051,0.44281150938126157,30
moead,delta_h_mean,-0.10846641064007015,0.026716087597425515,-0.1184423616991158,-0.0984904595810245,30
moead,delta_h_max,0.20791742239237357,0.04502787536115163,0.1911037374073407,0.22473110737740642,30
moead,gini_delta_h,0.34396142105649535,0.0724266983144568,0.31691684744074966,0.37100599467224105,30
moead,h_end_min,0.7161882423566186,0.07167012942250467,0.6894261762080081,0.7429503085052291,30
moead,h_end_min_lowgrp,0.7363231573577748,0.07586673279888313,0.7079940537548848,0.7646522609606647,30
moead,delta_h_low_mean,-0.3296996928715273,0.041704296934345096,-0.34527233327599377,-0.3141270524670608,30
moead,delta_h_high_mean,0.11276687159138701,0.040336617122021995,0.09770493122196215,0.1278288119608119,30
moead,T_end_max,84.6515293344597,1.4435081093276125,84.11251454797669,85.1905441209427,30
moead,hv,0.3791970105821356,0.06953709125396566,0.3532314339755968,0.40516258718867443,30
