metric,arm_a,arm_b,wilcoxon_p,holm_p,cohen_dz,mean_a,mean_b,n
f1,full,hard,0.6959385836534113,0.6959385836534113,0.04427330310030021,555.3,561.8777777777777,30
f2_full,full,hard,9.313225746154785e-09,1.6763806343078613e-07,1.2065930310717505,4358.088707067046,5429.553611558979,30
f4_full,full,hard,1.862645149230957e-09,5.21540641784668e-08,-0.8948934358752513,44.13520637355089,0.0,30
f1_min,full,hard,1.7333066441991056e-06,1.8474315225041853e-05,14.041852080007066,311.4111111111112,538.3222222222223,30
f1_eqw,full,hard,1.862645149230957e-09,5.21540641784668e-08,5.532199158439611,363.7222222222223,545.1111111111112,30
f2_full_eqw,full,hard,1.862645149230957e-09,5.21540641784668e-08,8.849132473609854,3164.952290613603,5420.427023047716,30
f4_full_eqw,full,hard,1.862645149230957e-09,5.21540641784668e-08,-2.4314863422052673,78.51371372657673,0.0,30
share_low,full,hard,1.679483202276532e-06,1.8474315225041853e-05,-2.0835229208739174,0.26999999999999996,0.0,30
gini_delta_h,full,hard,1.862645149230957e-09,5.21540641784668e-08,3.2590538925438026,0.41210247859335636,0.6414897178035337,30
f1,full,nohealth,3.855675458908081e-07,5.3979456424713135e-06,-1.4678926837117094,555.3,334.3444444444444,30
f2_full,full,nohealth,8.009374141693115e-08,1.2014061212539673e-06,-1.6828955716422997,4358.088707067046,2827.905797382438,30
f4_full,full,nohealth,5.587935447692871e-09,1.0617077350616455e-07,1.9059210393105817,44.13520637355089,136.42340806766086,30
f1_min,full,nohealth,1.7300371292901245e-06,1.8474315225041853e-05,-2.798161547581129,311.4111111111112,287.3333333333333,30
f1_eqw,full,nohealth,1.862645149230957e-09,5.21540641784668e-08,-2.3348514455428595,363.7222222222223,297.6000000000001,30
f2_full_eqw,full,nohealth,3.725290298461914e-09,7.450580596923828e-08,-1.910795261239125,3164.952290613603,2774.3419877592805,30
f4_full_eqw,full,nohealth,1.862645149230957e-09,5.21540641784668e-08,2.921672478760042,78.51371372657673,129.5777623457441,30
share_low,full,nohealth,2.209838442979407e-06,1.8474315225041853e-05,1.821027112108577,0.26999999999999996,0.5073333333333333,30
gini_delta_h,full,nohealth,2.6885420083999634e-05,7.713800970306103e-05,-0.9861732709677357,0.41210247859335636,0.34558350633690343,30
f1,full,moead,8.326023817062378e-07,9.991228580474854e-06,-1.4786329118524941,555.3,347.58888888888885,30
f2_full,full,moead,2.60770320892334e-08,4.172325134277344e-07,-1.7467241900583634,4358.088707067046,2834.7690684103395,30
f4_full,full,moead,6.917864084243774e-06,2.7671456336975098e-05,1.0018828510985516,44.13520637355089,91.13240805896494,30
f1_min,full,moead,1.7333066441991056e-06,1.8474315225041853e-05,-1.6082720737509464,311.4111111111112,294.2888888888889,30
f1_eqw,full,moead,1.7333066441991056e-06,1.8474315225041853e-05,-2.2099203848601254,363.7222222222223,302.8222222222222,30
f2_full_eqw,full,moead,1.862645149230957e-09,5.21540641784668e-08,-2.9420354532583572,3164.952290613603,2677.4902424618235,30
f4_full_eqw,full,moead,1.30385160446167e-08,2.2165477275848389e-07,1.8850059604185532,78.51371372657673,115.63435561322905,30
share_low,full,moead,2.5712669901020344e-05,7.713800970306103e-05,1.2481721206513097,0.26999999999999996,0.43666666666666665,30
gini_delta_h,full,moead,4.7124922275543213e-07,6.126239895820618e-06,-1.215100345920057,0.41210247859335636,0.34638784024857894,30
hv,full,moead,5.144625902175903e-06,2.5723129510879517e-05,-1.0587434183066093,0.4804282057086719,0.3724552780803156,30
