f1,f2_own,f4_own,f2_full,f4_full,f1_min,f4_full_min,f1_eqw,f2_full_eqw,f4_full_eqw,share_low,n_tasks_low,delta_h_mean,delta_h_max,gini_delta_h,h_end_min,h_end_min_lowgrp,delta_h_low_mean,delta_h_high_mean,T_end_max,front_size,evals,wall_s,arm,seed,hv
335.00000000000006,3141.0771933578453,143.23077120618794,3141.0771933578453,143.23077120618794,333.6666666666667,27.801563086653573,343.33333333333337,3162.1122135321557,105.46643926324043,0.48,24,-0.1355769449412771,0.141020626644065,0.4569156808940038,0.7452476019220486,0.7452476019220486,-0.30170165362032236,0.030547763737768196,83.55876217043752,100,20000,0.783,full,1,0.36801414590329995
565.3333333333334,5568.168218138171,0.0,5773.666716477826,0.0,557.3333333333333,0.0,557.3333333333333,5796.373539714606,0.0,0.0,0,0.044087540463962446,0.18849426985825357,0.6426461120290317,0.35233843751553295,0.35233843751553295,0.0,0.08817508092792489,91.07123782143704,100,20000,0.813,hard,1,
300.33333333333337,2388.942991831846,0.0,3141.951903000504,134.94687116473136,300.33333333333337,128.385028782366,301.0,2989.819002525509,134.2144575455514,0.5,25,-0.13390296789781167,0.151712306246776,0.4657272976061515,0.7468033550063563,0.7501798980726988,-0.30448729531096136,0.03668135951533802,82.46417511280418,49,20000,0.815,nohealth,1,
408.33333333333337,3389.010245692586,78.67957306114576,3389.010245692586,78.67957306114576,300.6666666666667,78.67957306114576,304.33333333333337,2873.5019170255646,120.05986767389832,0.42,21,-0.13399688976080762,0.17676537378487023,0.4478219113799595,0.713892847458344,0.7446675031941309,-0.3253496028772115,0.05735582335559623,88.86784082381236,88,20000,3.083,moead,1,0.4395255418051387
315.6666666666667,2898.8184113033094,152.6097556482629,2898.8184113033094,152.6097556482629,309.33333333333337,24.79247842686005,337.33333333333337,3068.98982673526,98.07629347964782,0.5,25,-0.13781428074258856,0.184929168428269,0.33172269076478944,0.749175912055408,0.7513166130942707,-0.36640751440316827,0.09077895291799117,81.34611585261689,100,20000,0.798,full,2,0.46072490276884864
554.6666666666666,5273.910615964954,0.0,5426.585369179175,0.0,533.6666666666666,0.0,554.6666666666666,5426.585369179175,0.0,0.0,0,0.06832056278344792,0.22851583777842388,0.632015175021583,0.31682425077358367,0.31682425077358367,0.0,0.13664112556689584,91.51018210354232,36,20000,0.822,hard,2,
277.66666666666663,2084.0563634483215,0.0,2826.372491766084,169.94250737566153,277.66666666666663,149.8203710822758,284.33333333333337,2817.2145116668253,165.49532417010286,0.52,26,-0.1370014718863803,0.15400384210189855,0.3456659255581571,0.7493617835816818,0.7493617835816818,-0.35229835847385593,0.07829541470109543,82.38722031421676,46,20000,0.817,nohealth,2,
327.3333333333333,2850.1766949693565,113.50727831105428,2850.1766949693565,113.50727831105428,300.0,89.3795876455116,300.0,2679.662452425837,149.09744187734688,0.4,20,-0.13627002771691127,0.20865454175853326,0.3519753964767587,0.731059489860257,0.762181655900403,-0.3753000040837936,0.1027599486499711,84.94538401862107,97,20000,3.117,moead,2,0.29297465260536654
573.3333333333333,4556.09484220232,28.21559066571003,4556.09484220232,28.21559066571003,309.33333333333337,18.496364272751855,365.00000000000006,3014.218740412557,101.44739164285907,0.18,9,0.0021948621446196137,0.22728118287450683,0.3931161940121577,0.3213078229153842,0.3213078229153842,-0.15473362222689585,0.15912334651613508,86.6021046975442,100,20000,0.793,full,3,0.4887372083784935
543.3333333333334,4987.450073052277,0.0,5104.9348069349935,0.0,535.0,0.0,543.3333333333334,5104.9348069349935,0.0,0.0,0,0.0867917690850248,0.2514654302555809,0.6003116728199056,0.3213078229153842,0.3213078229153842,0.0,0.1735835381700496,89.19819805871236,100,20000,0.813,hard,3,
310.0,1951.217511536587,0.0,2647.9230144321837,139.39521695992426,294.3333333333333,138.27246135050189,310.0,2647.9230144321837,139.39521695992426,0.44,22,-0.10993322431809038,0.2280559989731662,0.30667143027908295,0.7314040058389074,0.7541113467126156,-0.35483656304094274,0.13497011440476195,85.85945909640441,56,20000,0.82,nohealth,3,
404.6666666666667,3059.8663995635347,98.50043687817609,3059.8663995635347,98.50043687817609,297.6666666666667,96.36539757304742,319.33333333333337,2591.334153146064,133.8195691577256,0.38,19,-0.10817744034471273,0.23220346931333247,0.28705430151042455,0.7272565354987411,0.7665063910206138,-0.36190673657205574,0.14555185588263023,84.18616615211826,79,20000,3.122,moead,3,0.26530213328291924
586.3333333333334,4876.274151120469,21.661011129436055,4876.274151120469,21.661011129436055,308.0,20.83706171508912,327.6666666666667,3106.7218661114557,102.73866050499947,0.24,12,-0.05033287841433474,0.2558351583109242,0.370760696454008,0.36807036336773774,0.36807036336773774,-0.26033696403189677,0.15967120720322728,86.05161131428267,100,20000,0.807,full,4,0.5187181483256256
598.0,5705.850692825,0.0,5809.10088519726,0.0,554.6666666666666,0.0,562.6666666666667,5765.229388186596,0.0,0.0,0,0.09077383967257086,0.2604288339103431,0.5857987933527835,0.32987043548338324,0.32987043548338324,0.0,0.1815476793451417,85.95883032103819,40,20000,0.87,hard,4,
372.00000000000006,2203.729129710455,0.0,2877.599632954222,114.34052931995693,284.0,114.34052931995693,291.3333333333333,2811.3270092144758,145.07572712925509,0.46,23,-0.10307546559199914,0.2211927599952127,0.30668177574722333,0.7399472072850276,0.7584948416368981,-0.3505763289334439,0.14442539774944566,82.1551119031154,23,20000,0.814,nohealth,4,
441.66666666666663,3141.399145204692,94.68789552621897,3141.399145204692,94.68789552621897,303.0,78.74223298076808,315.0,2740.043535005496,142.05238775297772,0.42,21,-0.10514533309545882,0.23826994754092712,0.30672346549084795,0.7241628755855796,0.7604917613770525,-0.35837208193058356,0.14808141573966593,83.42416544169265,94,20000,3.106,moead,4,0.28315036915767283
561.0,4391.471267939585,7.169417312135401,4391.471267939585,7.169417312135401,359.33333333333337,6.53410757057493,414.6666666666667,3400.6520095852893,56.94573626343191,0.22,11,0.03732547405439908,0.25436580823045796,0.5031485324639964,0.3278889415819196,0.3278889415819196,-0.06984450204545087,0.14449545015424903,87.28069270111595,100,20000,0.793,full,5,0.42721253228677514
643.6666666666667,5722.036922933315,0.0,5855.63321703626,0.0,576.3333333333333,0.0,585.0,5776.008272206693,0.0,0.0,0,0.08194431459090432,0.28928024890016546,0.6578622747869516,0.3278889415819196,0.3278889415819196,0.0,0.16388862918180863,90.86521193168016,100,20000,0.822,hard,5,
410.0,2609.086846138712,0.0,3291.2260769031805,105.99778707729976,309.6666666666667,105.99778707729976,319.0,2885.017113054766,138.5668778727099,0.48,24,-0.08674298002816175,0.19914235235764888,0.35114640166147204,0.7138863539098453,0.7138863539098453,-0.28861776795653976,0.11513180790021627,86.91050356863818,31,20000,0.825,nohealth,5,
377.0,3346.498542894347,74.02289247788066,3346.498542894347,74.02289247788066,311.6666666666667,74.02289247788066,315.0,2867.0110271075537,122.15846032359077,0.44,22,-0.09536201063852284,0.2555315796532095,0.37411401007830003,0.7238465053293769,0.7336265976534565,-0.3204256118270249,0.12970159054997918,84.5948920829355,97,20000,3.127,moead,5,0.1940522955415694
332.3333333333333,3142.0106940239825,131.97043290649526,3142.0106940239825,131.97043290649526,322.66666666666663,17.37182387749015,371.33333333333337,3318.880060229239,88.27607880415668,0.48,24,-0.15254428539431325,0.07002707412507647,0.49591160664319167,0.7267130535086305,0.7542764289995524,-0.3322404365149761,0.027151865726349533,84.9462149557029,100,20000,0.793,full,6,0.46922393056590067
643.3333333333334,5497.659435031462,0.0,5714.617376655182,0.0,571.6666666666666,0.0,578.3333333333334,5678.838472016772,0.0,0.0,0,0.03516597650460943,0.14366790747874236,0.6793801349136352,0.32863531176746946,0.32863531176746946,0.0,0.07033195300921886,88.330407896374,99,20000,0.822,hard,6,
387.33333333333337,2156.187985001754,0.0,2936.6610403023833,153.91303753078586,299.0,151.701871418679,299.0,2761.94204582206,158.64659781029263,0.48,24,-0.15661557057219871,0.08766893227649686,0.47665776263236803,0.721583540760351,0.737699703478487,-0.3307538888511661,0.01752274770676867,86.37960183919029,11,20000,0.833,nohealth,6,
331.33333333333337,2917.153900334797,108.04894186375543,2917.153900334797,108.04894186375543,303.66666666666663,79.8802982500165,324.0,2866.2036675756704,119.05752613332945,0.46,23,-0.15564421517750548,0.09820900182163317,0.46828916421855693,0.7407263771749326,0.7521528298618216,-0.3460673003452281,0.034778869990217134,82.03944195132453,99,20000,3.13,moead,6,0.35370319992915517
622.6666666666667,5062.439979657518,31.534633819887148,5062.439979657518,31.534633819887148,309.00000000000006,25.06785433410927,374.33333333333337,3028.014845038763,123.15349904234253,0.14,7,0.01583735530594771,0.2926028011835272,0.29549328409542386,0.3601785217252042,0.3601785217252042,-0.22728964023377712,0.25896435084567254,86.50604037467468,100,20000,0.808,full,7,0.4065539908449295
542.6666666666666,5326.399926044121,0.0,5348.768993104783,0.0,542.0,0.0,542.6666666666666,5348.768993104783,0.0,0.0,0,0.13596866966507198,0.2973997694427686,0.524102020805546,0.30940883840000394,0.30940883840000394,0.0,0.27193733933014397,90.17306388049028,100,20000,0.82,hard,7,
310.6666666666667,2046.9122745654884,0.0,2673.7754414858305,186.5794766814589,287.66666666666663,185.57817837441235,292.3333333333333,2748.02857504936,185.57817837441235,0.52,26,-0.0751092348236864,0.2431757026371305,0.17037164345884648,0.7295991266801546,0.7295991266801546,-0.366307039089997,0.21608856944262422,83.90972683913668,25,20000,0.816,nohealth,7,
424.6666666666667,3040.9459686477535,112.23510706478966,3040.9459686477535,112.23510706478966,281.0,112.23510706478966,281.0,2567.615603431221,191.75582981732856,0.36,18,-0.07742589330122955,0.2697200359232932,0.15933745304324476,0.7193510297305298,0.7604281433741209,-0.40096207495739594,0.2461102883549368,84.91267822810215,89,20000,3.133,moead,7,0.32855942001049204
608.6666666666667,4949.092675802463,13.958006560272192,4949.092675802463,13.958006560272192,324.6666666666667,13.958006560272192,394.0,3304.553369711045,54.05893907101449,0.26,13,-0.03139195839946374,0.20666492571325445,0.4813371352291551,0.32032786237925137,0.32032786237925137,-0.14668510148090377,0.0839011846819763,86.65903297678594,100,20000,0.814,full,8,0.5757780430111017
585.3333333333334,5610.609351309254,0.0,5798.28813288665,0.0,584.0,0.0,585.3333333333334,5798.28813288665,0.0,0.0,0,0.05064202513305065,0.22790339958080696,0.690952833980625,0.32032786237925137,0.32032786237925137,0.0,0.1012840502661013,89.16754813262233,100,20000,0.836,hard,8,
330.0,2265.1812967236197,0.0,2989.5887705792975,134.0201915392168,293.0,114.83389194454577,314.3333333333333,2853.7999760317343,120.65723883476127,0.54,27,-0.12179449869548373,0.16858045641274422,0.4727610729096321,0.7354292904076295,0.7406196701887712,-0.28712857163410177,0.04353957424313439,83.65422519956621,32,20000,0.815,nohealth,8,
332.6666666666667,2847.6484319289216,85.723602892511,2847.6484319289216,85.723602892511,321.6666666666667,62.78088045650745,332.6666666666667,2847.6484319289216,85.723602892511,0.46,23,-0.12212079349831366,0.19428172459841453,0.4141963114207834,0.7290670674034713,0.7443761747718664,-0.3130504618667542,0.06880887487012699,85.54430934562464,91,20000,3.151,moead,8,0.32020123000240197
576.0,4992.414074023696,15.73337185583509,4992.414074023696,15.73337185583509,317.6666666666667,14.767527893074863,375.0,3368.9211326590585,44.450337504618034,0.18,9,-0.03371909675182885,0.19597818198247652,0.49395648511527135,0.37073366093323484,0.37073366093323484,-0.15633607804202168,0.08889788453836397,84.94767812876273,100,20000,0.798,full,9,0.4407986196702581
563.3333333333334,5534.161758620755,0.0,5720.01596836234,0.0,554.6666666666666,0.0,567.0,5697.3803284267815,0.0,0.0,0,0.051469119452565826,0.19611238219002447,0.6682358329421492,0.37073366093323484,0.37073366093323484,0.0,0.10293823890513165,89.71038888640602,100,20000,0.814,hard,9,
311.33333333333337,2058.445122590153,0.0,2763.074906747333,115.89493837542898,291.0,105.05684423413732,302.3333333333333,2807.8234747252195,107.79119424847408,0.48,24,-0.11779748130711001,0.14231746790342514,0.3679185288837563,0.7404239126935387,0.7404239126935387,-0.287791408586435,0.052196445972214976,82.33229225637595,23,20000,0.829,nohealth,9,
