event,replan_type,triggers_per_run,trigger_rate,replan_applied_rate,response_ms_mean,response_ms_std,deg_ehco_mean,deg_ehco_std,deg_astar_mean,deg_astar_std,detection_rate,false_alarm_rate,f1_score,warn_t_mean
A: sudden aisle congestion,local,1,1.0,0.6333333333333333,120.5551104167676,24.663282488982013,44.885940908018405,29.833827109626643,59.02684932581264,26.7543125706173,nan,nan,nan,nan
B: equipment fault warning,global,1,1.0,0.6,514.8873933333057,37.21762830822554,3.837339153589862,14.569860659308828,46.3113956055161,41.27548737800181,1.0,0.0,1.0,286.8666666666667
C: urgent order insertion,local,1,1.0,1.0,97.00755666660068,6.13431309666476,43.558080336312706,25.672709795924106,92.85124214611103,22.50412596181842,nan,nan,nan,nan
