scenario,strategy,seed,instance,t_ev,f1_base,f1_event,deg_pct,timeout,response_ms,replan_evals,warn_t,warn_agv,n_warned,n_agv,event_fired,replan_applied,maint_enter
congestion,EHCO,28,0,150.0,412.0,574.0,39.32038834951456,0,135.32130000385223,4000.0,None,None,0,10,1,1,
congestion,A*-GA,28,0,150.0,321.0,573.0,78.50467289719626,0,None,None,None,None,0,10,1,0,
congestion,EHCO,29,0,150.0,369.0,483.0,30.89430894308943,0,129.8781000004965,4000.0,None,None,0,10,1,1,
congestion,A*-GA,29,0,150.0,305.0,615.0,101.63934426229508,0,None,None,None,None,0,10,1,0,
congestion,EHCO,30,0,150.0,353.0,518.0,46.742209631728045,0,118.46220000006724,4000.0,None,None,0,10,1,0,
congestion,A*-GA,30,0,150.0,287.0,466.0,62.36933797909408,0,None,None,None,None,0,10,1,0,
congestion,EHCO,1,1,201.83628993137137,337.0,615.0,82.49258160237389,0,101.92600000300445,4000.0,None,None,0,10,1,1,
congestion,A*-GA,1,1,201.83628993137137,313.0,579.0,84.98402555910543,0,None,None,None,None,0,10,1,0,
congestion,EHCO,2,1,201.83628993137137,307.0,437.0,42.34527687296417,0,107.83280000032391,4000.0,None,None,0,10,1,1,
congestion,A*-GA,2,1,201.83628993137137,304.0,521.0,71.38157894736842,0,None,None,None,None,0,10,1,0,
congestion,EHCO,3,1,201.83628993137137,303.0,464.0,53.135313531353134,0,102.25599999830592,4000.0,None,None,0,10,1,0,
congestion,A*-GA,3,1,201.83628993137137,304.0,557.0,83.22368421052632,0,None,None,None,None,0,10,1,0,
congestion,EHCO,4,1,201.83628993137137,299.0,612.0,104.68227424749163,0,114.68169999716338,4000.0,None,None,0,10,1,1,
congestion,A*-GA,4,1,201.83628993137137,302.0,466.0,54.3046357615894,0,None,None,None,None,0,10,1,0,
congestion,EHCO,5,1,201.83628993137137,321.0,469.0,46.10591900311526,0,113.00489999848651,4000.0,None,None,0,10,1,1,
congestion,A*-GA,5,1,201.83628993137137,318.0,513.0,61.32075471698113,0,None,None,None,None,0,10,1,0,
congestion,EHCO,6,1,201.83628993137137,352.0,649.0,84.375,0,106.91709999809973,4000.0,None,None,0,10,1,1,
congestion,A*-GA,6,1,201.83628993137137,312.0,592.0,89.74358974358975,0,None,None,None,None,0,10,1,0,
congestion,EHCO,7,1,201.83628993137137,305.0,531.0,74.09836065573771,0,104.94859999744222,4000.0,None,None,0,10,1,1,
congestion,A*-GA,7,1,201.83628993137137,313.0,609.0,94.56869009584665,0,None,None,None,None,0,10,1,0,
congestion,EHCO,8,1,201.83628993137137,347.0,486.0,40.05763688760807,0,120.1264999981504,4000.0,None,None,0,10,1,1,
congestion,A*-GA,8,1,201.83628993137137,312.0,507.0,62.5,0,None,None,None,None,0,10,1,0,
congestion,EHCO,9,1,201.83628993137137,317.0,494.0,55.83596214511041,0,116.17470000055619,4000.0,None,None,0,10,1,0,
congestion,A*-GA,9,1,201.83628993137137,303.0,556.0,83.4983498349835,0,None,None,None,None,0,10,1,0,
congestion,EHCO,10,1,201.83628993137137,292.0,422.0,44.52054794520548,0,102.40009999688482,4000.0,None,None,0,10,1,0,
congestion,A*-GA,10,1,201.83628993137137,278.0,440.0,58.27338129496403,0,None,None,None,None,0,10,1,0,
congestion,EHCO,11,1,201.83628993137137,454.0,651.0,43.392070484581495,0,107.89240000303835,4000.0,None,None,0,10,1,1,
congestion,A*-GA,11,1,201.83628993137137,310.0,604.0,94.83870967741936,0,None,None,None,None,0,10,1,0,
congestion,EHCO,12,1,201.83628993137137,306.0,625.0,104.2483660130719,0,111.72050000459421,4000.0,None,None,0,10,1,1,
congestion,A*-GA,12,1,201.83628993137137,310.0,526.0,69.6774193548387,0,None,None,None,None,0,10,1,0,
congestion,EHCO,13,1,201.83628993137137,361.0,561.0,55.4016620498615,0,112.5501999995322,4000.0,None,None,0,10,1,1,
congestion,A*-GA,13,1,201.83628993137137,294.0,578.0,96.5986394557823,0,None,None,None,None,0,10,1,0,
congestion,EHCO,14,1,201.83628993137137,278.0,414.0,48.92086330935252,0,106.70569999638246,4000.0,None,None,0,10,1,0,
congestion,A*-GA,14,1,201.83628993137137,296.0,536.0,81.08108108108108,0,None,None,None,None,0,10,1,0,
congestion,EHCO,15,1,201.83628993137137,349.0,607.0,73.92550143266476,0,103.77030000381637,4000.0,None,None,0,10,1,1,
congestion,A*-GA,15,1,201.83628993137137,301.0,567.0,88.37209302325581,0,None,None,None,None,0,10,1,0,
congestion,EHCO,16,1,201.83628993137137,291.0,450.0,54.63917525773196,0,113.0468000046676,4000.0,None,None,0,10,1,0,
congestion,A*-GA,16,1,201.83628993137137,297.0,559.0,88.21548821548821,0,None,None,None,None,0,10,1,0,
congestion,EHCO,17,1,201.83628993137137,380.0,428.0,12.631578947368421,0,111.42910000489792,4000.0,None,None,0,10,1,1,
congestion,A*-GA,17,1,201.83628993137137,294.0,504.0,71.42857142857143,0,None,None,None,None,0,10,1,0,
congestion,EHCO,18,1,201.83628993137137,309.0,548.0,77.34627831715211,0,114.5498999976553,4000.0,None,None,0,10,1,0,
congestion,A*-GA,18,1,201.83628993137137,314.0,653.0,107.96178343949046,0,None,None,None,None,0,10,1,0,
congestion,EHCO,19,1,201.83628993137137,345.0,359.0,4.057971014492753,0,96.81219999765744,4000.0,None,None,0,10,1,1,
congestion,A*-GA,19,1,201.83628993137137,298.0,468.0,57.04697986577181,0,None,None,None,None,0,10,1,0,
congestion,EHCO,20,1,201.83628993137137,293.0,476.0,62.45733788395904,0,102.09439999744063,4000.0,None,None,0,10,1,1,
congestion,A*-GA,20,1,201.83628993137137,299.0,519.0,73.57859531772574,0,None,None,None,None,0,10,1,0,
congestion,EHCO,21,1,201.83628993137137,284.0,740.0,160.56338028169014,0,104.17310000048019,4000.0,None,None,0,10,1,1,
congestion,A*-GA,21,1,201.83628993137137,304.0,571.0,87.82894736842105,0,None,None,None,None,0,10,1,0,
congestion,EHCO,22,1,201.83628993137137,287.0,526.0,83.27526132404182,0,96.29239999776473,4000.0,None,None,0,10,1,1,
congestion,A*-GA,22,1,201.83628993137137,307.0,538.0,75.2442996742671,0,None,None,None,None,0,10,1,0,
congestion,EHCO,23,1,201.83628993137137,362.0,617.0,70.44198895027624,0,106.53040000033798,4000.0,None,None,0,10,1,0,
congestion,A*-GA,23,1,201.83628993137137,319.0,563.0,76.48902821316614,0,None,None,None,None,0,10,1,0,
congestion,EHCO,24,1,201.83628993137137,312.0,568.0,82.05128205128204,0,106.26359999878332,4000.0,None,None,0,10,1,1,
congestion,A*-GA,24,1,201.83628993137137,293.0,569.0,94.19795221843003,0,None,None,None,None,0,10,1,0,
congestion,EHCO,25,1,201.83628993137137,372.0,522.0,40.32258064516129,0,122.99809999967692,4000.0,None,None,0,10,1,1,
congestion,A*-GA,25,1,201.83628993137137,292.0,495.0,69.52054794520548,0,None,None,None,None,0,10,1,0,
congestion,EHCO,26,1,201.83628993137137,324.0,473.0,45.98765432098765,0,105.3678999960539,4000.0,None,None,0,10,1,1,
congestion,A*-GA,26,1,201.83628993137137,276.0,409.0,48.188405797101446,0,None,None,None,None,0,10,1,0,
congestion,EHCO,27,1,201.83628993137137,296.0,569.0,92.22972972972973,0,106.19579999911366,4000.0,None,None,0,10,1,1,
congestion,A*-GA,27,1,201.83628993137137,304.0,619.0,103.61842105263158,0,None,None,None,None,0,10,1,0,
congestion,EHCO,28,1,201.83628993137137,412.0,819.0,98.7864077669903,0,104.30990000168094,4000.0,None,None,0,10,1,1,
congestion,A*-GA,28,1,201.83628993137137,321.0,594.0,85.04672897196261,0,None,None,None,None,0,10,1,0,
congestion,EHCO,29,1,201.83628993137137,369.0,664.0,79.94579945799458,0,106.15359999792418,4000.0,None,None,0,10,1,1,
congestion,A*-GA,29,1,201.83628993137137,305.0,597.0,95.73770491803279,0,None,None,None,None,0,10,1,0,
congestion,EHCO,30,1,201.83628993137137,353.0,521.0,47.59206798866856,0,110.30220000247937,4000.0,None,None,0,10,1,1,
congestion,A*-GA,30,1,201.83628993137137,287.0,539.0,87.8048780487805,0,None,None,None,None,0,10,1,0,
congestion,EHCO,1,2,256.47811996135704,337.0,394.0,16.913946587537094,0,64.83229999867035,4000.0,None,None,0,10,1,1,
congestion,A*-GA,1,2,256.47811996135704,313.0,408.0,30.35143769968051,0,None,None,None,None,0,10,1,0,
congestion,EHCO,2,2,256.47811996135704,307.0,360.0,17.263843648208468,0,58.97019999974873,4000.0,None,None,0,10,1,1,
congestion,A*-GA,2,2,256.47811996135704,304.0,378.0,24.342105263157894,0,None,None,None,None,0,10,1,0,
congestion,EHCO,3,2,256.47811996135704,303.0,423.0,39.603960396039604,0,88.1567000033101,4000.0,None,None,0,10,1,1,
congestion,A*-GA,3,2,256.47811996135704,304.0,382.0,25.657894736842106,0,None,None,None,None,0,10,1,0,
