scenario,strategy_a,strategy_b,metric,mean_a,mean_b,n,wilcoxon_p,cohen_dz
congestion,EHCO,moead-cl,deg_pct,47.97334268609165,44.94669187221237,150,0.00897485937936815,-0.19374011162296417
congestion,EHCO,moead-cl,f1_event,476.88,466.8,150,0.008340947688960662,-0.20358011029478634
congestion,A*-GA,moead-cl,deg_pct,59.98005198436486,44.94669187221237,150,6.648694734675435e-11,-0.5675209293109661
congestion,A*-GA,moead-cl,f1_event,483.86,466.8,150,0.0002244538042529248,-0.2424486505810532
congestion,noFLC,moead-cl,deg_pct,51.00830860912711,44.94669187221237,150,3.29480225714351e-05,-0.3403500082815746
congestion,noFLC,moead-cl,f1_event,487.42,466.8,150,3.0162010047385765e-05,-0.35035711046275775
congestion,EHCO,moead-full,deg_pct,47.97334268609165,53.892751743919874,150,0.009058186182393166,0.2299467586228181
congestion,EHCO,moead-full,f1_event,476.88,446.50666666666666,150,6.528078312389398e-08,-0.4274162889310176
congestion,A*-GA,moead-full,deg_pct,59.98005198436486,53.892751743919874,150,2.7594925871092492e-05,-0.25606335093519433
congestion,A*-GA,moead-full,f1_event,483.86,446.50666666666666,150,2.959098011975641e-11,-0.517187051939263
congestion,noFLC,moead-full,deg_pct,51.00830860912711,53.892751743919874,150,0.3200245857738193,0.11499360652625919
congestion,noFLC,moead-full,f1_event,487.42,446.50666666666666,150,2.757885029013928e-11,-0.5627752091956069
fault,EHCO,moead-cl,deg_pct,7.036693717391475,5.984014850175192,150,0.123148060976507,-0.1647946518525201
fault,EHCO,moead-cl,f1_event,346.17333333333335,342.76,150,0.1252240894788795,-0.16361216663641073
fault,A*-GA,moead-cl,deg_pct,43.62709729697444,5.984014850175192,150,7.483411960593793e-17,-0.8391306558595414
fault,A*-GA,moead-cl,f1_event,435.22,342.76,150,3.3609518206246e-11,-0.6317912406451276
fault,noFLC,moead-cl,deg_pct,7.745351990462017,5.984014850175192,150,0.009682954945772352,-0.3001126184451233
fault,noFLC,moead-cl,f1_event,348.67333333333335,342.76,150,0.009337492031273566,-0.30720823463987373
fault,EHCO,moead-full,deg_pct,7.036693717391475,10.25130582015281,150,0.00018805830673233762,0.1676798344550035
fault,EHCO,moead-full,f1_event,346.17333333333335,319.6333333333333,150,1.3485780929079523e-08,-0.37545343691192606
fault,A*-GA,moead-full,deg_pct,43.62709729697444,10.25130582015281,150,1.122496101587692e-16,-0.8594884039139836
fault,A*-GA,moead-full,f1_event,435.22,319.6333333333333,150,7.642256821693551e-21,-0.9737095968840481
fault,noFLC,moead-full,deg_pct,7.745351990462017,10.25130582015281,150,0.0015942547353113854,0.13625955099858802
fault,noFLC,moead-full,f1_event,348.67333333333335,319.6333333333333,150,7.948310687210531e-10,-0.41567844803439574
urgent,EHCO,moead-cl,deg_pct,44.30851738565173,42.05003367452835,150,1.8184096933628244e-06,-0.3405601652390705
urgent,EHCO,moead-cl,f1_event,462.81333333333333,455.62,150,1.6884380577799235e-06,-0.3474268072388039
urgent,A*-GA,moead-cl,deg_pct,91.2325511290927,42.05003367452835,150,2.2996057560669792e-26,-2.7073047423746583
urgent,A*-GA,moead-cl,f1_event,577.3133333333334,455.62,150,2.2594508782233533e-26,-4.108177641658576
urgent,noFLC,moead-cl,deg_pct,45.17454322274024,42.05003367452835,150,3.3563582222391057e-09,-0.43541678129202477
urgent,noFLC,moead-cl,f1_event,465.38,455.62,150,3.2209212691667443e-09,-0.44173741430795543
urgent,EHCO,moead-full,deg_pct,44.30851738565173,57.50276795363563,150,7.705369072928984e-13,0.7514907003510948
urgent,EHCO,moead-full,f1_event,462.81333333333333,455.58,150,0.001776216637957192,-0.3376481844112554
urgent,A*-GA,moead-full,deg_pct,91.2325511290927,57.50276795363563,150,2.2993753426271887e-26,-3.867390081858367
urgent,A*-GA,moead-full,f1_event,577.3133333333334,455.58,150,2.262511173644325e-26,-4.242210021538366
urgent,noFLC,moead-full,deg_pct,45.17454322274024,57.50276795363563,150,6.244850147503201e-11,0.6537078142402145
urgent,noFLC,moead-full,f1_event,465.38,455.58,150,6.497920705823348e-05,-0.39721892487713595
