scenario,strategy_a,strategy_b,metric,mean_a,mean_b,n,wilcoxon_p,cohen_dz
congestion,EHCO,nocostadapt,deg_pct,45.40493221777564,59.69466839901033,150,8.617668214292417e-09,0.4382823189203119
congestion,EHCO,nocostadapt,f1_event,488.74666666666667,532.7333333333333,150,1.8958606654151397e-08,0.4228010434942533
compound,EHCO,nocostadapt,deg_pct,104.13540154332469,109.2446464992449,150,0.3386150592253264,0.082258147238166
compound,EHCO,nocostadapt,f1_event,682.54,702.5666666666667,150,0.31006622680744056,0.09145444603511974
