scenario,seed,instance,f1_event_stdA,f1_event_EHCO,abs_diff,deg_diff
congestion,25,3,552.0,552.0,0.0,0.0
congestion,26,3,369.0,369.0,0.0,0.0
congestion,27,3,492.0,492.0,0.0,0.0
congestion,28,3,478.0,478.0,0.0,0.0
congestion,29,3,474.0,474.0,0.0,0.0
congestion,30,3,405.0,405.0,0.0,0.0
congestion,1,4,471.0,471.0,0.0,0.0
congestion,2,4,458.0,458.0,0.0,0.0
congestion,3,4,476.0,476.0,0.0,0.0
congestion,4,4,551.0,551.0,0.0,0.0
congestion,5,4,440.0,440.0,0.0,0.0
congestion,6,4,479.0,479.0,0.0,0.0
congestion,7,4,421.0,421.0,0.0,0.0
congestion,8,4,468.0,468.0,0.0,0.0
congestion,9,4,465.0,465.0,0.0,0.0
congestion,10,4,468.0,468.0,0.0,0.0
congestion,11,4,496.0,496.0,0.0,0.0
congestion,12,4,511.0,511.0,0.0,0.0
congestion,13,4,511.0,511.0,0.0,0.0
congestion,14,4,456.0,456.0,0.0,0.0
congestion,15,4,465.0,465.0,0.0,0.0
congestion,16,4,526.0,526.0,0.0,0.0
congestion,17,4,480.0,480.0,0.0,0.0
congestion,18,4,445.0,445.0,0.0,0.0
congestion,19,4,415.0,415.0,0.0,0.0
congestion,20,4,469.0,469.0,0.0,0.0
congestion,21,4,394.0,394.0,0.0,0.0
congestion,22,4,459.0,459.0,0.0,0.0
congestion,23,4,559.0,559.0,0.0,0.0
congestion,24,4,412.0,412.0,0.0,0.0
congestion,25,4,462.0,462.0,0.0,0.0
congestion,26,4,374.0,374.0,0.0,0.0
congestion,27,4,624.0,624.0,0.0,0.0
congestion,28,4,503.0,503.0,0.0,0.0
congestion,29,4,417.0,417.0,0.0,0.0
congestion,30,4,388.0,388.0,0.0,0.0
fault,1,0,411.0,411.0,0.0,0.0
fault,2,0,325.0,325.0,0.0,0.0
fault,3,0,324.0,324.0,0.0,0.0
fault,4,0,394.0,394.0,0.0,0.0
fault,5,0,334.0,334.0,0.0,0.0
fault,6,0,313.0,313.0,0.0,0.0
fault,7,0,355.0,355.0,0.0,0.0
fault,8,0,350.0,350.0,0.0,0.0
fault,9,0,373.0,373.0,0.0,0.0
fault,10,0,293.0,293.0,0.0,0.0
fault,11,0,392.0,392.0,0.0,0.0
fault,12,0,313.0,313.0,0.0,0.0
fault,13,0,332.0,332.0,0.0,0.0
fault,14,0,280.0,280.0,0.0,0.0
fault,15,0,369.0,369.0,0.0,0.0
fault,16,0,300.0,300.0,0.0,0.0
fault,17,0,391.0,391.0,0.0,0.0
fault,18,0,428.0,428.0,0.0,0.0
fault,19,0,308.0,308.0,0.0,0.0
fault,20,0,399.0,399.0,0.0,0.0
fault,21,0,337.0,337.0,0.0,0.0
fault,22,0,379.0,379.0,0.0,0.0
fault,23,0,357.0,357.0,0.0,0.0
fault,24,0,281.0,281.0,0.0,0.0
fault,25,0,356.0,356.0,0.0,0.0
fault,26,0,285.0,285.0,0.0,0.0
fault,27,0,473.0,473.0,0.0,0.0
fault,28,0,335.0,335.0,0.0,0.0
fault,29,0,348.0,348.0,0.0,0.0
fault,30,0,302.0,302.0,0.0,0.0
fault,1,1,323.0,323.0,0.0,0.0
fault,2,1,371.0,371.0,0.0,0.0
fault,3,1,340.0,340.0,0.0,0.0
fault,4,1,331.0,331.0,0.0,0.0
fault,5,1,399.0,399.0,0.0,0.0
fault,6,1,367.0,367.0,0.0,0.0
fault,7,1,362.0,362.0,0.0,0.0
fault,8,1,381.0,381.0,0.0,0.0
fault,9,1,340.0,340.0,0.0,0.0
fault,10,1,278.0,278.0,0.0,0.0
fault,11,1,355.0,355.0,0.0,0.0
fault,12,1,356.0,356.0,0.0,0.0
fault,13,1,331.0,331.0,0.0,0.0
fault,14,1,333.0,333.0,0.0,0.0
fault,15,1,339.0,339.0,0.0,0.0
fault,16,1,393.0,393.0,0.0,0.0
fault,17,1,312.0,312.0,0.0,0.0
fault,18,1,348.0,348.0,0.0,0.0
fault,19,1,298.0,298.0,0.0,0.0
fault,20,1,309.0,309.0,0.0,0.0
fault,21,1,373.0,373.0,0.0,0.0
fault,22,1,367.0,367.0,0.0,0.0
fault,23,1,352.0,352.0,0.0,0.0
fault,24,1,333.0,333.0,0.0,0.0
fault,25,1,349.0,349.0,0.0,0.0
fault,26,1,275.0,275.0,0.0,0.0
fault,27,1,333.0,333.0,0.0,0.0
fault,28,1,335.0,335.0,0.0,0.0
fault,29,1,366.0,366.0,0.0,0.0
fault,30,1,377.0,377.0,0.0,0.0
fault,1,2,316.0,316.0,0.0,0.0
fault,2,2,325.0,325.0,0.0,0.0
fault,3,2,380.0,380.0,0.0,0.0
fault,4,2,394.0,394.0,0.0,0.0
fault,5,2,593.0,593.0,0.0,0.0
fault,6,2,297.0,297.0,0.0,0.0
fault,7,2,355.0,355.0,0.0,0.0
fault,8,2,480.0,480.0,0.0,0.0
fault,9,2,373.0,373.0,0.0,0.0
fault,10,2,284.0,284.0,0.0,0.0
