variant,seed,agv,soh,task_count,band
GA-SA-multiSoH,15,1,0.9531,6,high
GA-SA-multiSoH,15,2,0.8665,4,mid
GA-SA-multiSoH,15,3,0.9825,6,high
GA-SA-multiSoH,15,4,0.7055,5,low
GA-SA-multiSoH,15,5,0.9668,5,high
GA-SA-multiSoH,15,6,0.8169,5,mid
GA-SA-multiSoH,15,7,0.7695,5,low
GA-SA-multiSoH,15,8,0.8603,4,mid
GA-SA-multiSoH,15,9,0.9834,5,high
GA-SA-multiSoH,16,0,0.7554,5,low
GA-SA-multiSoH,16,1,0.9087,5,high
GA-SA-multiSoH,16,2,0.7465,5,low
GA-SA-multiSoH,16,3,0.9075,6,high
GA-SA-multiSoH,16,4,0.9876,4,high
GA-SA-multiSoH,16,5,0.9955,4,high
GA-SA-multiSoH,16,6,0.899,6,mid
GA-SA-multiSoH,16,7,0.7491,6,low
GA-SA-multiSoH,16,8,0.8185,4,mid
GA-SA-multiSoH,16,9,0.7834,5,low
GA-SA-multiSoH,17,0,0.7762,5,low
GA-SA-multiSoH,17,1,0.8812,4,mid
GA-SA-multiSoH,17,2,0.7251,5,low
GA-SA-multiSoH,17,3,0.9993,4,high
GA-SA-multiSoH,17,4,0.9497,5,high
GA-SA-multiSoH,17,5,0.711,5,low
GA-SA-multiSoH,17,6,0.8703,5,mid
GA-SA-multiSoH,17,7,0.8828,6,mid
GA-SA-multiSoH,17,8,0.7021,6,low
GA-SA-multiSoH,17,9,0.7537,5,low
GA-SA-multiSoH,18,0,0.7941,5,low
GA-SA-multiSoH,18,1,0.9209,4,high
GA-SA-multiSoH,18,2,0.9722,6,high
GA-SA-multiSoH,18,3,0.9666,5,high
GA-SA-multiSoH,18,4,0.9845,5,high
GA-SA-multiSoH,18,5,0.7076,5,low
GA-SA-multiSoH,18,6,0.9214,6,high
GA-SA-multiSoH,18,7,0.9018,4,high
GA-SA-multiSoH,18,8,0.8876,5,mid
GA-SA-multiSoH,18,9,0.8913,5,mid
GA-SA-multiSoH,19,0,0.9784,5,high
GA-SA-multiSoH,19,1,0.831,6,mid
GA-SA-multiSoH,19,2,0.8229,6,mid
GA-SA-multiSoH,19,3,0.884,4,mid
GA-SA-multiSoH,19,4,0.9141,5,high
GA-SA-multiSoH,19,5,0.886,7,mid
GA-SA-multiSoH,19,6,0.8299,4,mid
GA-SA-multiSoH,19,7,0.8326,5,mid
GA-SA-multiSoH,19,8,0.8938,3,mid
GA-SA-multiSoH,19,9,0.9754,5,high
GA-SA-multiSoH,20,0,0.8921,5,mid
GA-SA-multiSoH,20,1,0.7811,6,low
GA-SA-multiSoH,20,2,0.7906,5,low
GA-SA-multiSoH,20,3,0.722,5,low
GA-SA-multiSoH,20,4,0.7158,5,low
GA-SA-multiSoH,20,5,0.9422,5,high
GA-SA-multiSoH,20,6,0.944,5,high
GA-SA-multiSoH,20,7,0.7015,4,low
GA-SA-multiSoH,20,8,0.799,5,low
GA-SA-multiSoH,20,9,0.7267,5,low
GA-SA-multiSoH,21,0,0.7592,6,low
GA-SA-multiSoH,21,1,0.9016,3,high
GA-SA-multiSoH,21,2,0.9978,6,high
GA-SA-multiSoH,21,3,0.7628,5,low
GA-SA-multiSoH,21,4,0.9562,4,high
GA-SA-multiSoH,21,5,0.9097,8,high
GA-SA-multiSoH,21,6,0.7665,4,low
GA-SA-multiSoH,21,7,0.7554,5,low
GA-SA-multiSoH,21,8,0.9862,5,high
GA-SA-multiSoH,21,9,0.8021,4,mid
GA-SA-multiSoH,22,0,0.8822,5,mid
GA-SA-multiSoH,22,1,0.715,5,low
GA-SA-multiSoH,22,2,0.8432,6,mid
GA-SA-multiSoH,22,3,0.7989,3,low
GA-SA-multiSoH,22,4,0.7649,5,low
GA-SA-multiSoH,22,5,0.9391,5,high
GA-SA-multiSoH,22,6,0.8263,5,mid
GA-SA-multiSoH,22,7,0.731,5,low
GA-SA-multiSoH,22,8,0.8107,5,mid
GA-SA-multiSoH,22,9,0.9745,6,high
GA-SA-multiSoH,23,0,0.8246,4,mid
GA-SA-multiSoH,23,1,0.8047,5,mid
GA-SA-multiSoH,23,2,0.7192,4,low
GA-SA-multiSoH,23,3,0.8364,6,mid
GA-SA-multiSoH,23,4,0.7904,6,low
GA-SA-multiSoH,23,5,0.8167,5,mid
GA-SA-multiSoH,23,6,0.8621,6,mid
GA-SA-multiSoH,23,7,0.9051,4,high
GA-SA-multiSoH,23,8,0.8874,5,mid
GA-SA-multiSoH,23,9,0.9228,5,high
GA-SA-multiSoH,24,0,0.9136,5,high
GA-SA-multiSoH,24,1,0.823,5,mid
GA-SA-multiSoH,24,2,0.9829,3,high
GA-SA-multiSoH,24,3,0.7093,6,low
GA-SA-multiSoH,24,4,0.9409,6,high
GA-SA-multiSoH,24,5,0.8806,5,mid
GA-SA-multiSoH,24,6,0.7123,5,low
GA-SA-multiSoH,24,7,0.7997,6,low
GA-SA-multiSoH,24,8,0.8135,5,mid
GA-SA-multiSoH,24,9,0.7528,4,low
GA-SA-multiSoH,25,0,0.93,4,high
GA-SA-multiSoH,25,1,0.9751,4,high
GA-SA-multiSoH,25,2,0.8061,6,mid
GA-SA-multiSoH,25,3,0.9357,5,high
GA-SA-multiSoH,25,4,0.744,6,low
GA-SA-multiSoH,25,5,0.8625,4,mid
GA-SA-multiSoH,25,6,0.8791,4,mid
GA-SA-multiSoH,25,7,0.937,6,high
GA-SA-multiSoH,25,8,0.7836,5,low
GA-SA-multiSoH,25,9,0.8241,6,mid
GA-SA-multiSoH,26,0,0.852,5,mid
GA-SA-multiSoH,26,1,0.8026,7,mid
GA-SA-multiSoH,26,2,0.9887,5,high
GA-SA-multiSoH,26,3,0.8559,5,mid
GA-SA-multiSoH,26,4,0.7607,3,low
GA-SA-multiSoH,26,5,0.7772,6,low
GA-SA-multiSoH,26,6,0.8651,4,mid
GA-SA-multiSoH,26,7,0.9545,6,high
GA-SA-multiSoH,26,8,0.8011,6,mid
GA-SA-multiSoH,26,9,0.9713,3,high
GA-SA-multiSoH,27,0,0.821,5,mid
GA-SA-multiSoH,27,1,0.7545,6,low
GA-SA-multiSoH,27,2,0.9581,5,high
GA-SA-multiSoH,27,3,0.9721,6,high
GA-SA-multiSoH,27,4,0.7905,6,low
GA-SA-multiSoH,27,5,0.8066,4,mid
GA-SA-multiSoH,27,6,0.9261,5,high
GA-SA-multiSoH,27,7,0.7805,5,low
GA-SA-multiSoH,27,8,0.9368,3,high
GA-SA-multiSoH,27,9,0.8353,5,mid
GA-SA-multiSoH,28,0,0.7988,6,low
GA-SA-multiSoH,28,1,0.9454,5,high
GA-SA-multiSoH,28,2,0.945,6,high
GA-SA-multiSoH,28,3,0.7218,5,low
GA-SA-multiSoH,28,4,0.9888,3,high
GA-SA-multiSoH,28,5,0.8031,5,mid
GA-SA-multiSoH,28,6,0.7532,4,low
GA-SA-multiSoH,28,7,0.8559,6,mid
GA-SA-multiSoH,28,8,0.8866,6,mid
GA-SA-multiSoH,28,9,0.705,4,low
GA-SA-multiSoH,29,0,0.9364,5,high
GA-SA-multiSoH,29,1,0.8853,6,mid
GA-SA-multiSoH,29,2,0.9948,5,high
GA-SA-multiSoH,29,3,0.9583,5,high
GA-SA-multiSoH,29,4,0.8894,5,mid
GA-SA-multiSoH,29,5,0.7559,6,low
GA-SA-multiSoH,29,6,0.9526,4,high
GA-SA-multiSoH,29,7,0.8264,4,mid
GA-SA-multiSoH,29,8,0.7085,6,low
GA-SA-multiSoH,29,9,0.9857,4,high
GA-SA-multiSoH,30,0,0.7751,5,low
GA-SA-multiSoH,30,1,0.8932,5,mid
GA-SA-multiSoH,30,2,0.9707,5,high
GA-SA-multiSoH,30,3,0.8173,5,mid
GA-SA-multiSoH,30,4,0.8437,4,mid
GA-SA-multiSoH,30,5,0.9302,5,high
GA-SA-multiSoH,30,6,0.8833,6,mid
GA-SA-multiSoH,30,7,0.9231,6,high
GA-SA-multiSoH,30,8,0.8521,4,mid
GA-SA-multiSoH,30,9,0.9649,5,high
