variant,seed,agv,soh,task_count,band
Full,18,1,0.9209,5,high
Full,18,2,0.9722,5,high
Full,18,3,0.9666,6,high
Full,18,4,0.9845,4,high
Full,18,5,0.7076,8,low
Full,18,6,0.9214,3,high
Full,18,7,0.9018,5,high
Full,18,8,0.8876,5,mid
Full,18,9,0.8913,5,mid
Full,19,0,0.9784,6,high
Full,19,1,0.831,6,mid
Full,19,2,0.8229,4,mid
Full,19,3,0.884,6,mid
Full,19,4,0.9141,5,high
Full,19,5,0.886,5,mid
Full,19,6,0.8299,5,mid
Full,19,7,0.8326,4,mid
Full,19,8,0.8938,4,mid
Full,19,9,0.9754,5,high
Full,20,0,0.8921,4,mid
Full,20,1,0.7811,9,low
Full,20,2,0.7906,5,low
Full,20,3,0.722,5,low
Full,20,4,0.7158,4,low
Full,20,5,0.9422,5,high
Full,20,6,0.944,4,high
Full,20,7,0.7015,4,low
Full,20,8,0.799,6,low
Full,20,9,0.7267,4,low
Full,21,0,0.7592,5,low
Full,21,1,0.9016,4,high
Full,21,2,0.9978,5,high
Full,21,3,0.7628,5,low
Full,21,4,0.9562,6,high
Full,21,5,0.9097,4,high
Full,21,6,0.7665,6,low
Full,21,7,0.7554,4,low
Full,21,8,0.9862,6,high
Full,21,9,0.8021,5,mid
Full,22,0,0.8822,6,mid
Full,22,1,0.715,4,low
Full,22,2,0.8432,4,mid
Full,22,3,0.7989,5,low
Full,22,4,0.7649,7,low
Full,22,5,0.9391,5,high
Full,22,6,0.8263,6,mid
Full,22,7,0.731,4,low
Full,22,8,0.8107,4,mid
Full,22,9,0.9745,5,high
Full,23,0,0.8246,5,mid
Full,23,1,0.8047,5,mid
Full,23,2,0.7192,4,low
Full,23,3,0.8364,5,mid
Full,23,4,0.7904,5,low
Full,23,5,0.8167,6,mid
Full,23,6,0.8621,5,mid
Full,23,7,0.9051,5,high
Full,23,8,0.8874,5,mid
Full,23,9,0.9228,5,high
Full,24,0,0.9136,6,high
Full,24,1,0.823,5,mid
Full,24,2,0.9829,4,high
Full,24,3,0.7093,6,low
Full,24,4,0.9409,5,high
Full,24,5,0.8806,4,mid
Full,24,6,0.7123,4,low
Full,24,7,0.7997,5,low
Full,24,8,0.8135,6,mid
Full,24,9,0.7528,5,low
Full,25,0,0.93,7,high
Full,25,1,0.9751,4,high
Full,25,2,0.8061,6,mid
Full,25,3,0.9357,3,high
Full,25,4,0.744,3,low
Full,25,5,0.8625,6,mid
Full,25,6,0.8791,4,mid
Full,25,7,0.937,5,high
Full,25,8,0.7836,7,low
Full,25,9,0.8241,5,mid
Full,26,0,0.852,4,mid
Full,26,1,0.8026,5,mid
Full,26,2,0.9887,6,high
Full,26,3,0.8559,5,mid
Full,26,4,0.7607,4,low
Full,26,5,0.7772,5,low
Full,26,6,0.8651,5,mid
Full,26,7,0.9545,5,high
Full,26,8,0.8011,5,mid
Full,26,9,0.9713,6,high
Full,27,0,0.821,5,mid
Full,27,1,0.7545,4,low
Full,27,2,0.9581,6,high
Full,27,3,0.9721,9,high
Full,27,4,0.7905,5,low
Full,27,5,0.8066,3,mid
Full,27,6,0.9261,4,high
Full,27,7,0.7805,7,low
Full,27,8,0.9368,4,high
Full,27,9,0.8353,3,mid
Full,28,0,0.7988,6,low
Full,28,1,0.9454,5,high
Full,28,2,0.945,6,high
Full,28,3,0.7218,5,low
Full,28,4,0.9888,6,high
Full,28,5,0.8031,2,mid
Full,28,6,0.7532,5,low
Full,28,7,0.8559,4,mid
Full,28,8,0.8866,6,mid
Full,28,9,0.705,5,low
Full,29,0,0.9364,6,high
Full,29,1,0.8853,4,mid
Full,29,2,0.9948,5,high
Full,29,3,0.9583,4,high
Full,29,4,0.8894,5,mid
Full,29,5,0.7559,5,low
Full,29,6,0.9526,6,high
Full,29,7,0.8264,5,mid
Full,29,8,0.7085,5,low
Full,29,9,0.9857,5,high
Full,30,0,0.7751,5,low
Full,30,1,0.8932,4,mid
Full,30,2,0.9707,5,high
Full,30,3,0.8173,5,mid
Full,30,4,0.8437,5,mid
Full,30,5,0.9302,6,high
Full,30,6,0.8833,6,mid
Full,30,7,0.9231,5,high
Full,30,8,0.8521,4,mid
Full,30,9,0.9649,5,high
hard-only,1,0,0.9261,6,high
hard-only,1,1,0.8614,6,mid
hard-only,1,2,0.7989,5,low
hard-only,1,3,0.9365,4,high
hard-only,1,4,0.791,5,low
hard-only,1,5,0.836,4,mid
hard-only,1,6,0.7402,5,low
hard-only,1,7,0.8209,5,mid
hard-only,1,8,0.761,5,low
hard-only,1,9,0.7787,5,low
hard-only,2,0,0.8687,4,mid
hard-only,2,1,0.745,4,low
hard-only,2,2,0.8298,6,mid
hard-only,2,3,0.9008,5,high
hard-only,2,4,0.8268,5,mid
hard-only,2,5,0.89,5,mid
hard-only,2,6,0.9902,6,high
hard-only,2,7,0.9049,5,high
hard-only,2,8,0.8175,5,mid
hard-only,2,9,0.7562,5,low
hard-only,3,0,0.8174,5,mid
hard-only,3,1,0.855,4,mid
hard-only,3,2,0.8292,5,mid
hard-only,3,3,0.876,6,mid
hard-only,3,4,0.9214,6,high
hard-only,3,5,0.9869,5,high
hard-only,3,6,0.7853,5,low
hard-only,3,7,0.8946,5,mid
hard-only,3,8,0.9089,4,high
hard-only,3,9,0.7878,5,low
hard-only,4,0,0.9707,4,high
hard-only,4,1,0.8431,5,mid
hard-only,4,2,0.8291,5,mid
hard-only,4,3,0.9367,4,high
hard-only,4,4,0.9952,5,high
hard-only,4,5,0.8109,6,mid
hard-only,4,6,0.9907,6,high
hard-only,4,7,0.9787,5,high
hard-only,4,8,0.7533,5,low
hard-only,4,9,0.8827,5,mid
hard-only,5,0,0.8957,5,mid
hard-only,5,1,0.7704,5,low
hard-only,5,2,0.8305,5,mid
hard-only,5,3,0.9923,5,high
hard-only,5,4,0.9693,4,high
hard-only,5,5,0.9533,5,high
hard-only,5,6,0.8177,5,mid
hard-only,5,7,0.8479,5,mid
