variant,seed,lam,f1,f2,delta_h_mean,delta_h_max,gini_delta_h,h_end_min,h_end_mean
hard-only,6,0.0,295.6666666666667,2837.9356358946047,-0.11102217046845628,0.2096234835472598,0.3185052120090579,0.742202034775026,0.76379984940175
hard-only,6,1.0,295.6666666666667,2837.9356358946047,-0.10356349069716111,0.20992867279254135,0.31060810744537215,0.7265826572216563,0.7563411696304547
hard-only,6,2.0,295.6666666666667,2837.9356358946047,-0.09610481092586629,0.2102338620378218,0.30306547961129526,0.7107657921299616,0.7488824898591601
Full,7,0.0,387.0,3454.1390063645686,-0.052143724746994066,0.26921249417739423,0.346747859777385,0.7225859643245133,0.7538563033752288
Full,7,1.0,387.0,3454.1390063645686,-0.04704247858556998,0.26941504545371264,0.34990828964700427,0.7156414018789556,0.7487550572138046
Full,7,2.0,387.0,3454.1390063645686,-0.04194123242414606,0.2696175967300306,0.3533291936966405,0.7086968394333972,0.7436538110523808
-health,7,0.0,345.3333333333333,2265.5056659041597,-0.06021976857142568,0.26396362130718887,0.2932105559987903,0.7283084820701305,0.7619323471996604
-health,7,1.0,345.3333333333333,2265.5056659041597,-0.05381709668269989,0.26416129092367524,0.29749152059267114,0.7252907187399161,0.7555296753109346
-health,7,2.0,345.3333333333333,2265.5056659041597,-0.047414424793974376,0.2643589605401624,0.30476840688835005,0.7133334980638182,0.7491270034222091
hard-only,7,0.0,308.6666666666667,2682.056372983895,-0.06027176785561862,0.24904981639590096,0.25375303619632406,0.7305373594740818,0.7619843464838534
hard-only,7,1.0,308.6666666666667,2682.056372983895,-0.05370874216589128,0.24912382280265344,0.25782287138390014,0.7268789348776017,0.7554213207941259
hard-only,7,2.0,308.6666666666667,2682.056372983895,-0.0471457164761641,0.24919782920940503,0.2646626372639842,0.7176918555897747,0.7488582951043988
Full,8,0.0,543.0,4480.5706199129,-0.1428346370344537,0.14974920368553946,0.5018982812156167,0.43570518423301746,0.7376647696745783
Full,8,1.0,543.0,4480.5706199129,-0.13677086949848363,0.15326992173432286,0.4935915870507983,0.43570518423301746,0.7316010021386083
Full,8,2.0,543.0,4480.5706199129,-0.1307071019625134,0.1567906397831077,0.4832846572434537,0.43570518423301746,0.7255372346026381
-health,8,0.0,314.0,2158.8969582130408,-0.16443423932914947,0.09377089152401719,0.3889802012201522,0.7310163575649856,0.7592643719692742
-health,8,1.0,314.0,2158.8969582130408,-0.15553477558041223,0.09643533402724991,0.39807205394588974,0.7238475266467268,0.7503649082205367
-health,8,2.0,314.0,2158.8969582130408,-0.146635311831675,0.09909977653048263,0.40563639452872646,0.7166786957284685,0.7414654444717996
hard-only,8,0.0,302.3333333333333,3110.7190597835665,-0.16206545450098298,0.11270922154291996,0.3785664544693188,0.7301533262196602,0.7568955871411076
hard-only,8,1.0,302.3333333333333,3110.7190597835665,-0.15306356897297557,0.11564817416906226,0.37856912842796664,0.722979834054781,0.7478937016131002
hard-only,8,2.0,302.3333333333333,3110.7190597835665,-0.14406168344496809,0.118587126795205,0.3798897590360626,0.7158063418899016,0.7388918160850927
Full,9,0.0,541.3333333333334,4583.749439694428,0.0006456227823098959,0.26404922576189316,0.42811156684462826,0.303938235475575,0.6644131173895936
Full,9,1.0,541.3333333333334,4583.749439694428,0.003936620340938201,0.26435951443478856,0.42424604621944906,0.303938235475575,0.6611221198309655
Full,9,2.0,541.3333333333334,4583.749439694428,0.007227617899566807,0.2646698031076845,0.4222397577800252,0.303938235475575,0.6578311222723368
-health,9,0.0,360.0,2331.628117774544,-0.09990610946068158,0.24939586925193413,0.38659947667838246,0.7307257170218657,0.7649648496325853
-health,9,1.0,360.0,2331.628117774544,-0.09321503830627212,0.2496829979431373,0.37730782082247116,0.7143657943230096,0.7582737784781758
-health,9,2.0,360.0,2331.628117774544,-0.08652396715186285,0.2499701266343407,0.36910684152841466,0.6980058716241545,0.7515827073237664
hard-only,9,0.0,419.0,2892.8248919717366,-0.10289245325257693,0.19455766478208802,0.43667147128174744,0.7212028948146874,0.7679511934244805
hard-only,9,1.0,419.0,2892.8248919717366,-0.09564214430001625,0.19477508731068383,0.4275273592404112,0.7180594214575616,0.7607008844719199
hard-only,9,2.0,419.0,2892.8248919717366,-0.08839183534745587,0.19499250983927863,0.4179170668943464,0.709496049920114,0.7534505755193595
Full,10,0.0,566.3333333333333,4118.559723085799,0.022595465725154418,0.2004086582228225,0.3327543764663572,0.39754597570747563,0.7106771009491114
Full,10,1.0,566.3333333333333,4118.559723085799,0.025071165365579674,0.20148175039401384,0.3297001146124061,0.39754597570747563,0.7082014013086863
Full,10,2.0,566.3333333333333,4118.559723085799,0.027546865006005294,0.2025548425652045,0.3266870113956104,0.39754597570747563,0.7057257016682607
-health,10,0.0,299.6666666666667,1947.3676093310578,-0.04522807858946566,0.20021630984543337,0.3688448863816016,0.74670929315879,0.7785006452637316
-health,10,1.0,299.6666666666667,1947.3676093310578,-0.03987007123674593,0.20128395403913157,0.3577125834656585,0.7357312917316793,0.7731426379110118
-health,10,2.0,299.6666666666667,1947.3676093310578,-0.03451206388402624,0.20235159823282967,0.3477950793238296,0.721929720653209,0.767784630558292
hard-only,10,0.0,359.6666666666667,2627.86575979895,-0.047662726567102055,0.1651647979151014,0.4381847571629034,0.7327475700035253,0.7809352932413678
