strategy,metric,mean,std,n
A*-GA,deg_pct,309.21631385354243,188.4745864248122,150
A*-GA,f1_event,1238.2533333333333,574.3490997743734,150
A*-GA,n_replans,0.0,0.0,150
A*-GA,response_ms_total,0.0,0.0,150
A*-GA,completion_pct,99.937106918239,0.40406133962197976,150
A*-GA,min_h,0.4700596005864649,0.10990613352942963,150
A*-GA,warn_t,363.6333333333333,99.79801188768131,150
EHCO,deg_pct,109.4317782565928,81.99435529862635,150
EHCO,f1_event,675.5,263.5542237549237,150
EHCO,n_replans,2.7733333333333334,0.42007775992640634,150
EHCO,response_ms_total,603.3509840001352,208.71289766515108,150
EHCO,completion_pct,100.0,0.0,150
EHCO,min_h,0.49951237488725025,0.098591998281379,150
EHCO,warn_t,361.75333333333333,99.75392116339104,150
moead-cl,deg_pct,92.24417221053572,53.985237832454445,150
moead-cl,f1_event,618.0133333333333,165.40468926371182,150
moead-cl,n_replans,2.78,0.41563406724226665,150
moead-cl,response_ms_total,3300.6173599999593,1166.226537049427,150
moead-cl,completion_pct,100.0,0.0,150
moead-cl,min_h,0.5011898718672875,0.0979053994981234,150
moead-cl,warn_t,361.3466666666667,99.23715656873625,150
noFLC,deg_pct,116.76768409513919,88.38260717408382,150
noFLC,f1_event,697.6466666666666,276.84490695259836,150
noFLC,n_replans,2.7666666666666666,0.4243695152324363,150
noFLC,response_ms_total,591.1924619993806,207.48216873852465,150
noFLC,completion_pct,100.0,0.0,150
noFLC,min_h,0.4973041703185271,0.10161595187050326,150
noFLC,warn_t,361.70666666666665,99.5097072372937,150
