beta,metric,mean_beta001,mean_new,n,wilcoxon_p,cohen_dz
0.0005,deg_pct,4.130828740025863,10.634537699890865,150,0.012017076461519437,0.25901390846918115
0.0005,f1_event,349.64,363.38666666666666,150,0.006208157832867178,0.1729593138318479
0.0005,warn_t,286.14666666666665,348.37333333333333,150,2.2757617085609967e-26,3.4297125410983846
0.002,deg_pct,4.130828740025863,3.328118179035723,150,0.3899044147080013,-0.03731462288086848
0.002,f1_event,349.64,339.25333333333333,150,0.038399540298909476,-0.1617838178416578
0.002,warn_t,286.14666666666665,255.26,150,2.232759159142584e-26,-3.6742533609368615
0.005,deg_pct,4.130828740025863,3.9819752715241035,150,0.8082955406487082,-0.006812666140101601
0.005,f1_event,349.64,341.3,150,0.11073796162874859,-0.12612642552586956
0.005,warn_t,286.14666666666665,235.26,150,2.2102496901365336e-26,-6.494654567025445
