seed,algo,row,f1,f2,f3,f4,knee
1,AW-NSGA-II,0,333.99999999999994,2396.3343840295693,1378.1666666666667,0.0,0
1,AW-NSGA-II,1,338.6666666666667,2397.2449273436955,1375.1666666666667,0.0,0
1,AW-NSGA-II,2,313.66666666666663,2416.4123662388306,1358.6666666666667,0.0,0
1,AW-NSGA-II,3,348.0,2368.454633585638,1378.8333333333335,0.0,0
1,AW-NSGA-II,4,313.66666666666663,2398.7515021475597,1368.6666666666665,0.0,1
1,AW-NSGA-II,5,287.0,2414.8142922444517,1374.0,0.0,0
1,AW-NSGA-II,6,340.66666666666663,2377.583706233385,1367.8333333333333,0.0,0
1,AW-NSGA-II,7,330.0,2357.8068153187414,1402.1666666666665,0.0,0
1,AW-NSGA-II,8,331.6666666666667,2382.302954757715,1383.3333333333333,0.0,0
1,AW-NSGA-II,9,348.0,2351.701433924551,1381.6666666666667,0.0,0
1,AW-NSGA-II,10,313.66666666666663,2398.7515021475597,1368.6666666666665,0.0,0
1,AW-NSGA-II,11,348.0,2351.701433924551,1381.6666666666667,0.0,0
1,AW-NSGA-II,12,372.0,2410.996718337117,1366.1666666666667,0.0,0
1,AW-NSGA-II,13,313.66666666666663,2383.484964523099,1385.3333333333335,0.0,0
1,AW-NSGA-II,14,320.6666666666667,2355.1696159687067,1411.6666666666667,0.0,0
1,AW-NSGA-II,15,326.0,2338.215353086896,1411.6666666666667,0.0,0
1,AW-NSGA-II,16,313.66666666666663,2521.3777670952954,1357.1666666666665,0.0,0
1,AW-NSGA-II,17,338.66666666666663,2392.300106974386,1382.5,0.0,0
1,AW-NSGA-II,18,338.6666666666667,2374.8542317197507,1379.5,0.0,0
1,AW-NSGA-II,19,338.6666666666667,2397.2449273436955,1375.1666666666667,0.0,0
1,AW-NSGA-II,20,320.6666666666667,2359.5569292458686,1393.5,0.0,0
1,AW-NSGA-II,21,319.3333333333333,2371.462607432849,1388.5,0.0,0
1,AW-NSGA-II,22,330.0,2357.8068153187414,1402.1666666666665,0.0,0
1,AW-NSGA-II,23,287.0,2414.8142922444517,1374.0,0.0,0
1,AW-NSGA-II,24,331.6666666666667,2370.03607252825,1389.8333333333335,0.0,0
1,NSGA-II-2obj,0,339.6666666666667,2283.298635167681,1437.1666666666665,0.0,0
1,NSGA-II-2obj,1,339.6666666666667,2283.298635167681,1437.1666666666665,0.0,0
1,NSGA-II-2obj,2,309.0,2548.7773858582127,1428.5,0.0,0
1,NSGA-II-2obj,3,309.0,2548.7773858582127,1428.5,0.0,0
1,NSGA-II-2obj,4,365.6666666666667,2280.485047251297,1432.6666666666665,0.0,1
1,NSGA-II-2obj,5,309.0,2548.7773858582127,1428.5,0.0,0
1,NSGA-II-2obj,6,311.66666666666663,2395.232238035478,1403.6666666666667,0.0,0
1,NSGA-II-2obj,7,311.66666666666663,2395.232238035478,1403.6666666666667,0.0,0
1,NSGA-II-2obj,8,339.6666666666667,2283.298635167681,1437.1666666666665,0.0,0
1,NSGA-II-2obj,9,312.3333333333333,2285.2967092417553,1428.5,0.0,0
1,NSGA-II-3obj,0,302.6666666666667,2473.6091406197693,1390.5,0.0,0
1,NSGA-II-3obj,1,304.33333333333337,2418.311145315086,1392.0000000000002,0.0,0
1,NSGA-II-3obj,2,345.0,2463.845415627583,1364.1666666666667,0.0,0
1,NSGA-II-3obj,3,329.66666666666663,2453.170554421425,1375.3333333333333,0.0,0
1,NSGA-II-3obj,4,304.33333333333337,2416.3478545842113,1395.3333333333335,0.0,0
1,NSGA-II-3obj,5,309.0,2460.7267196892426,1386.1666666666667,0.0,0
1,NSGA-II-3obj,6,302.6666666666667,2466.276844323473,1395.1666666666667,0.0,0
1,NSGA-II-3obj,7,305.33333333333337,2511.3294369627242,1379.6666666666667,0.0,0
1,NSGA-II-3obj,8,320.0,2361.3244493141974,1401.6666666666667,0.0,0
1,NSGA-II-3obj,9,320.0,2367.7382094264917,1396.1666666666667,0.0,0
1,NSGA-II-3obj,10,320.0,2361.3244493141974,1401.6666666666667,0.0,0
1,NSGA-II-3obj,11,306.66666666666663,2398.782045369623,1387.3333333333335,0.0,0
1,NSGA-II-3obj,12,317.3333333333333,2440.3570671476236,1382.6666666666667,0.0,0
1,NSGA-II-3obj,13,330.3333333333333,2384.510976935606,1372.8333333333335,0.0,0
1,NSGA-II-3obj,14,342.0,2352.2825271134143,1385.3333333333333,0.0,0
1,NSGA-II-3obj,15,326.6666666666667,2560.7927925900067,1370.8333333333333,0.0,0
1,NSGA-II-3obj,16,345.0,2463.845415627583,1364.1666666666667,0.0,0
1,NSGA-II-3obj,17,304.33333333333337,2418.311145315086,1392.0000000000002,0.0,0
1,NSGA-II-3obj,18,350.0,2522.3631763429735,1359.3333333333333,0.0,0
1,NSGA-II-3obj,19,326.6666666666667,2583.8150911976213,1370.0,0.0,0
1,NSGA-II-3obj,20,306.66666666666663,2398.782045369623,1387.3333333333335,0.0,0
1,NSGA-II-3obj,21,329.66666666666663,2503.003258125129,1372.4999999999998,0.0,0
1,NSGA-II-3obj,22,346.3333333333333,2435.481066981811,1368.1666666666665,0.0,0
1,NSGA-II-3obj,23,311.0,2454.795359386005,1380.3333333333333,0.0,0
1,NSGA-II-3obj,24,322.0,2324.692974705812,1395.6666666666667,0.0,0
1,NSGA-II-3obj,25,313.0,2372.109492830622,1391.5,0.0,0
1,NSGA-II-3obj,26,301.33333333333337,2477.367686389966,1387.8333333333333,0.0,0
1,NSGA-II-3obj,27,302.6666666666667,2453.8536731256727,1396.166666666667,0.0,0
1,NSGA-II-3obj,28,305.33333333333337,2511.3294369627242,1379.6666666666667,0.0,0
1,NSGA-II-3obj,29,301.33333333333337,2472.825881260928,1391.0,0.0,0
1,NSGA-II-3obj,30,322.0,2355.84965631464,1382.8333333333335,0.0,0
1,NSGA-II-3obj,31,319.3333333333333,2372.8850805863613,1388.8333333333333,0.0,0
1,NSGA-II-3obj,32,345.0,2459.6792304423975,1366.3333333333335,0.0,0
1,NSGA-II-3obj,33,342.0,2356.948156743044,1380.666666666667,0.0,0
1,NSGA-II-3obj,34,314.6666666666667,2366.948385319609,1404.1666666666667,0.0,0
1,NSGA-II-3obj,35,311.00000000000006,2381.556644945118,1388.0,0.0,0
1,NSGA-II-3obj,36,345.33333333333337,2549.196250417048,1358.1666666666665,0.0,0
1,NSGA-II-3obj,37,311.00000000000006,2399.2590021994242,1384.1666666666665,0.0,0
1,NSGA-II-3obj,38,329.66666666666663,2503.003258125129,1372.4999999999998,0.0,0
1,NSGA-II-3obj,39,309.0,2460.7267196892426,1386.1666666666667,0.0,0
1,NSGA-II-3obj,40,320.0,2367.7382094264917,1396.1666666666667,0.0,0
1,NSGA-II-3obj,41,364.66666666666663,2568.0930082201753,1353.3333333333335,0.0,1
1,NSGA-II-3obj,42,325.33333333333337,2389.2496313637685,1378.6666666666665,0.0,0
1,NSGA-II-3obj,43,311.00000000000006,2381.556644945118,1388.0,0.0,0
1,NSGA-II-3obj,44,321.33333333333337,2535.0035173843885,1373.6666666666667,0.0,0
1,NSGA-II-3obj,45,322.0,2289.490901821516,1405.6666666666665,0.0,0
1,NSGA-II-3obj,46,322.0,2346.025085816923,1390.1666666666667,0.0,0
1,NSGA-II-3obj,47,306.66666666666663,2373.871581028681,1402.9999999999998,0.0,0
1,NSGA-II-3obj,48,305.33333333333337,2529.177489984272,1375.1666666666667,0.0,0
1,NSGA-II-3obj,49,345.0,2463.845415627583,1364.1666666666667,0.0,0
1,NSGA-II-3obj,50,306.6666666666667,2506.997511036798,1386.0,0.0,0
1,NSGA-II-3obj,51,305.6666666666667,2409.310774944716,1390.3333333333337,0.0,0
1,NSGA-II-3obj,52,319.3333333333333,2390.0488954011757,1376.0,0.0,0
1,NSGA-II-3obj,53,333.0,2563.5968596783187,1367.1666666666665,0.0,0
1,NSGA-II-3obj,54,345.0,2500.927711923879,1359.5000000000002,0.0,0
1,NSGA-II-3obj,55,318.3333333333333,2384.283075385383,1381.1666666666667,0.0,0
1,NSGA-II-3obj,56,334.66666666666663,2363.5638703481145,1380.6666666666667,0.0,0
1,NSGA-III,0,310.3333333333333,2396.8386898263375,1375.0,0.0,1
1,NSGA-III,1,338.0,2507.868368573033,1361.3333333333335,0.0,0
1,NSGA-III,2,324.00000000000006,2544.7169993220514,1365.5000000000002,0.0,0
1,NSGA-III,3,310.3333333333333,2390.831747478378,1376.6666666666667,0.0,0
1,NSGA-III,4,308.6666666666667,2448.3282732191633,1401.666666666667,0.0,0
1,NSGA-III,5,310.3333333333333,2396.8386898263375,1375.0,0.0,0
1,NSGA-III,6,335.3333333333333,2564.9206434855605,1359.8333333333335,0.0,0
1,NSGA-III,7,348.0,2464.6208682449424,1369.6666666666667,0.0,0
1,NSGA-III,8,379.6666666666666,2561.0677381644896,1358.6666666666667,0.0,0
1,NSGA-III,9,324.00000000000006,2544.7169993220514,1365.5000000000002,0.0,0
1,NSGA-III,10,319.0,2486.417924287978,1372.6666666666667,0.0,0
1,NSGA-III,11,308.6666666666667,2448.3282732191633,1401.666666666667,0.0,0
1,NSGA-III,12,319.0,2471.1679983620525,1373.0000000000002,0.0,0
1,NSGA-III,13,338.0,2507.868368573033,1361.3333333333335,0.0,0
1,NSGA-III,14,309.0,2403.666451182082,1382.8333333333335,0.0,0
1,NSGA-III,15,324.00000000000006,2544.7169993220514,1365.5000000000002,0.0,0
1,NSGA-III,16,348.0,2457.621090467165,1370.6666666666665,0.0,0
1,NSGA-III,17,310.33333333333337,2386.891266243542,1383.6666666666667,0.0,0
1,NSGA-III,18,330.0,2376.450018817666,1386.6666666666667,0.0,0
1,NSGA-III,19,308.0,2446.954802697794,1409.3333333333333,0.0,0
1,NSGA-III,20,310.3333333333333,2396.8386898263375,1375.0,0.0,0
