scenario,strategy_a,strategy_b,metric,mean_a,mean_b,n,wilcoxon_p,cohen_dz
congestion,EHCO,agnostic,deg_pct,44.885940908018405,45.99105847909326,150,0.34897688673946614,0.08137676454984301
urgent,EHCO,agnostic,deg_pct,43.558080336312706,38.333545644935384,150,7.866223786619423e-17,-0.6050699853399321
fault,EHCO,agnostic,deg_pct,3.837339153589862,22.028760594816266,150,1.6281820642838527e-05,0.4312485480130709
fault,EHCO,agnostic-excl,deg_pct,3.837339153589862,2.9014271319012708,150,0.08751594794496362,-0.12244759189056292
fault,A*-GA,agnostic,deg_pct,46.3113956055161,22.028760594816266,150,7.555886817423999e-11,-0.464561068256702
fault,A*-GA,agnostic-excl,deg_pct,46.3113956055161,2.9014271319012708,150,6.488517409899195e-19,-0.9651573969921594
